"";"ANOMES";"VA_FTT";"VA_ATE";"VA_FCR";"VA_FAC";"VA_FMA";"VR_FTT";"VR_ATE";"VR_FCR";"VR_FAC";"VR_FMA";"C_FTT";"C_ATE";"P_FCR";"P_FMA";"DIF";"ANO";"escala_geral"
"1";"201401";3968143,03;4720899,84;2314382,94;1653760,09;933311,87;168259,24;2569,5;0;168259,24;69204,42;10;7;0,583240806216605;0,235201166627303;-752756,81;"2014";-0,856365442312537
"2";"201402";4059264,59;4546363,05;1959600,83;2099663,76;1454899,5;2421,9;5380,5;0;2421,9;63,2;6;7;0,482747745694498;0,358414552129503;-487098,459999999;"2014";-0,554142164648972
"3";"201403";4556980,1;4251280,91;1925636,87;2631343,23;1824109,9;2636,82;5208,6;0;2636,82;939,62;7;7;0,422568637067342;0,400289195908492;305699,189999999;"2014";0,347775295528623
"4";"201404";4508848,66;4548443,5;2063348,61;2445500,05;1641253,54;4137,1;9598,1;0;4137,1;1152,5;7;8;0,45762205955256;0,364007236383933;-39594,8399999999;"2014";-0,0450446309079476
"5";"201405";4494678,63;4850522,87;2049471,64;2445206,99;1730346,29;5359,4;14047,88;0;5359,4;666,32;6;7;0,455977347595149;0,384976642924079;-355844,24;"2014";-0,404822255918175
"6";"201406";4405145,14;3450949,11;1646614,75;2758530,39;1965333,72;10438,3;36311,74;0;10438,3;2157,02;7;7;0,373793529536237;0,446145054825594;954196,03;"2014";1,08553053845347
"7";"201407";4827996,99;5208486,54;2816264,58;2011732,41;1223127,95;6409,46;67302,26;0;6409,46;496,52;7;7;0,583319456460556;0,253340661258366;-380489,55;"2014";-0,432859719702898
"8";"201408";5435595,52;5960201,68;2846285,31;2589310,21;1501381,87;1357,4;64876,98;0;1357,4;0;14;7;0,523638173504124;0,276212949340278;-524606,16;"2014";-0,596812383867084
"9";"201409";5918897,73;5765719,13;3034759,86;2884137,87;2114607,64;156002,88;32510,58;0;156002,88;46578,04;7;7;0,512723820960495;0,357263756946177;153178,600000001;"2014";0,174261936656296
"10";"201410";5612197,16;5990642,84;2934059,39;2678137,77;1807071,05;2338,92;55798,72;0;2338,92;18;7;7;0,522800483723562;0,321989944130901;-378445,68;"2014";-0,430534533649013
"11";"201411";5951158,95;5511189,56;3017913,41;2933245,54;2034784,8;11194,88;176232,54;0;11194,88;235,6;14;7;0,507113561468561;0,341914040121546;439969,39;"2014";0,500526300481196
"12";"201412";4969082,39;4193882,67;2592659;2376423,39;1525996,46;3383,74;264426,54;0;3383,74;22;9;7;0,521758102706766;0,307098240727701;775199,72;"2014";0,881897370145817
"13";"201501";5696968,37;6396797,94;3930244,23;1766724,14;872239,19;530554,76;741,6;0;530554,76;264085,54;7;7;0,68988345638296;0,153105850928219;-699829,57;"2015";-0,796153354303687
"14";"201502";5456086,52;5314659,27;3120045,53;2336040,99;1466953,37;2645,6;1984,6;0;2645,6;0;7;7;0,571846784057229;0,268865488958559;141427,25;"2015";0,160893143565577
"15";"201503";6844886,36;7450516,76;4574601,48;2270284,88;1403973,22;411;3621,6;0;411;-50,8;7;7;0,668323948624328;0,205112714245266;-605630,4;"2015";-0,688988712535087
"16";"201504";6378594,23;6344255,41;3729284,27;2649309,96;1770847,04;1603;3248,54;0;1603;79;7;7;0,584656138253836;0,277623403550472;34338,8200000003;"2015";0,0390651780058833
"17";"201505";6449595,56;6867422,54;3928146,85;2521448,71;1578619,95;3619,6;1521,92;0;3619,6;341;7;7;0,609053205500532;0,24476262663515;-417826,98;"2015";-0,475336233142562
"18";"201506";6273509,68;5801530,13;3489904,62;2783605,06;1834107,21;4248;1702,74;0;4248;0;7;7;0,556292218871654;0,292357436834305;471979,55;"2015";0,536942304245938
"19";"201507";7313344,23;8011642,88;4830816,22;2482528,01;1587672,19;221,1;2180,4;0;221,1;0;7;7;0,660548179885141;0,217092501059532;-698298,65;"2015";-0,794411720132426
"20";"201508";7337907,88;7736061,84;4422928,45;2914979,43;1816495,71;2658,22;626,64;0;2658,22;32;8;6;0,602750609891821;0,247549538602275;-398153,96;"2015";-0,4529554399699
"21";"201509";7196343,44;7521339,74;4233647,02;2962696,42;1969544,71;35,6;1186,87;0;35,6;-30;6;8;0,588305304672896;0,273686869786192;-324996,3;"2015";-0,369728438855887
"22";"201510";7544204,98;7675136,62;4008679,15;3535525,83;1964681,09;1991,68;3068,81;0;1991,68;0;8;8;0,531358726416789;0,260422548858157;-130931,640000001;"2015";-0,148952929168859
"23";"201511";7457347,2;7144963,55;3716200,69;3741146,51;2424675,02;117,04;142,8;0;117,04;0;7;7;0,498327433380063;0,325139081629457;312383,65;"2015";0,355379797365706
"24";"201512";7144358,23;5709897,73;3487925,62;3656432,61;2407637,29;840;181,6;0;840;0;7;7;0,488206989027201;0,336998399644918;1434460,5;"2015";1,63189809011806
"25";"201601";7067300,81;7679487,37;4500096,29;2567204,52;1496408,62;1942,8;19,8;0;1942,8;0;7;7;0,636748938665878;0,211736936099088;-612186,56;"2016";-0,696447255299079
"26";"201602";7354539,7;7038944,52;4178575,08;3175964,62;2302481,09;19,8;335,5;0;19,8;0;6;7;0,568162692765123;0,313069367210024;315595,180000001;"2016";0,359033358877757
"27";"201603";8757156,04;8859149,69;5795111,26;2962044,78;2044187,67;655,76;478,5;0;655,76;0;7;7;0,661757222725016;0,233430540767206;-101993,65;"2016";-0,116031945556654
"28";"201604";8130038,69;8268272,64;5196487,29;2933551,4;1986393,49;2607,62;0;0;2607,62;0;7;7;0,639171286649806;0,244327679823133;-138233,95;"2016";-0,157260321210989
"29";"201605";8631937;8078446,12;5430382,06;3201554,94;2118409,62;0;7619,78;0;0;0;8;7;0,629103532613827;0,245415324509435;553490,880000001;"2016";0,629672765454166
"30";"201606";7900437,07;7183129,29;5026966,11;2873470,96;1753408,01;0;1200;0;0;0;7;6;0,636289621125987;0,221938102216919;717307,78;"2016";0,816037246204288
"31";"201607";7430593,71;8725637,28;5027146,21;2403447,5;1461047,51;2850;850;0;2850;0;7;7;0,676547044045018;0,196625944981185;-1295043,57;"2016";-1,47329196482069
"32";"201608";9225328,09;8707632,79;5729570,11;3495757,98;2732266,19;1560,8;11623,5;0;1560,8;0;7;7;0,621069522308989;0,296170083420849;517695,299999999;"2016";0,588950320579126
"33";"201609";8835251,95;8391388,35;5867908,82;2967343,13;2106540,96;8610,98;5641,2;0;8610,98;2873,5;7;7;0,664147310479358;0,238424548832476;443863,600000001;"2016";0,504956505329306
"34";"201610";8654687,57;8868175,04;5987668,15;2667019,42;1863577,71;0;1739,7;0;0;0;7;7;0,691841051634866;0,215325821403395;-213487,470000001;"2016";-0,242871654226197
"35";"201611";9314293,46;8928551,25;6379309,47;2934983,99;2171099,86;0;23950;0;0;0;7;7;0,684894618941929;0,233093349412248;385742,209999999;"2016";0,4388353501382
