"";"ANOMES";"VA_FTT";"VA_ATE";"VA_FCR";"VA_FAC";"VA_FMA";"VR_FTT";"VR_ATE";"VR_FCR";"VR_FAC";"VR_FMA";"C_FTT";"C_ATE";"P_FCR";"P_FMA";"DIF";"ANO";"escala_geral"
"1";"201401";7645226,2;7050351,43;2909607,68;4735618,52;3549328,86;0;0;0;0;0;13;10;0,380578364051544;0,464254263660636;7645226,2;"2014";0,996032344481874
"2";"201402";6262818,3;6135729,9;2144507,44;4118310,86;3305788,39;0;0;0;0;0;9;7;0,342418913861831;0,52784357323603;6262818,3;"2014";0,81593002368105
"3";"201403";5578160,08;6578222,7;1768816,33;3809343,75;2955586,81;0;0;0;0;0;11;9;0,317096731652061;0,529849765444523;5578160,08;"2014";0,726731651494837
"4";"201404";6453601,17;6552263,07;1951148,97;4502452,2;3723903,23;0;0;0;0;0;8;11;0,302334916367322;0,577027171637258;6453601,17;"2014";0,840785522304895
"5";"201405";7094037,09;7022678,62;2231997,41;4862039,68;3533709,24;0;0;0;0;0;11;10;0,31463007335362;0,498123874342473;7094037,09;"2014";0,924222542243953
"6";"201406";6080246,84;6609008,87;1562471,45;4517775,39;3534969,94;0;0;0;0;0;24;7;0,256975003008266;0,581385926101645;6080246,84;"2014";0,792144320736214
"7";"201407";7602022,03;7029494,97;2659855;4942167,03;3818250,84;0;0;0;0;0;15;8;0,349887831093276;0,502267794664626;7602022,03;"2014";0,990403635845825
"8";"201408";7936428,94;8031285,75;2829268,71;5107160,23;3568454,84;0;0;0;0;0;21;7;0,356491405818597;0,449629785257045;7936428,94;"2014";1,03397070500308
"9";"201409";7617855,13;8310519,63;2715562,61;4902292,52;4143221,05;0;0;0;0;0;10;9;0,356473385704829;0,543882888200842;7617855,13;"2014";0,992466397535389
"10";"201410";8277045,37;8197537,19;2967081,13;5309964,24;4274312,75;0;0;0;0;0;32;12;0,358471048226234;0,516405620475655;8277045,37;"2014";1,07834676039591
"11";"201411";7792324,24;7214963,6;2384248,02;5408076,22;4108814,84;0;0;0;0;0;18;10;0,305973923384892;0,527290024574234;7792324,24;"2014";1,01519651331312
"12";"201412";6563205;7182925,36;1871706,47;4691498,53;3690585,92;0;0;0;0;0;15;9;0,285181777805203;0,562314588680378;6563205;"2014";0,855064885256784
"13";"201501";7374781,46;7163421,09;2274164,63;5100616,83;3983930,96;0;0;0;0;0;13;11;0,308370443562947;0,540210036271366;7374781,46;"2015";0,960798369529637
"14";"201502";6486230,92;6494172,2;1668405,6;4817825,32;3548265,78;0;0;0;0;0;9;8;0,257222664530112;0,547045861265759;6486230,92;"2015";0,845036578525097
"15";"201503";8225266,04;7898945,4;2935897,52;5289368,52;3758642,79;0;0;0;0;0;8;8;0,356936481534158;0,456963066206184;8225266,04;"2015";1,07160086614682
"16";"201504";7549805,04;7623880,77;2491637,65;5058167,39;3864526,69;0;0;0;0;0;17;9;0,330026753909396;0,511871057533957;7549805,04;"2015";0,983600722549226
"17";"201505";7212849,95;7470313,13;2429789,09;4783060,86;3639846,66;0;0;0;0;0;9;8;0,336869490817565;0,504633630982439;7212849,95;"2015";0,939701672410225
"18";"201506";7709474,03;8068897,5;2461805,95;5247668,08;3773847,41;0;0;0;0;0;9;9;0,319322166521391;0,489507766070003;7709474,03;"2015";1,00440265493034
"19";"201507";8740891,57;8045133,76;3070340,72;5670550,85;4388236,81;0;0;0;0;0;9;10;0,351261732903523;0,502035378754847;8740891,57;"2015";1,13877738808159
"20";"201508";7973235;7978256,73;2758922,88;5214312,12;4148758,48;0;0;0;0;0;13;9;0,346023023277252;0,520335657985749;7973235;"2015";1,03876585759555
"21";"201509";8351166;8022327,28;2895954,89;5455211,11;4205187,57;0;0;0;0;0;11;7;0,346772521346121;0,503544962463924;8351166;"2015";1,08800331508011
"22";"201510";7407961,16;7719257,68;2599582,67;4808378,49;3924333,83;0;0;0;0;0;12;8;0,350917427056272;0,529745465080165;7407961,16;"2015";0,965121074118836
"23";"201511";7214467,74;7644874,26;2244667,26;4969800,48;3943368,04;0;0;0;0;0;9;9;0,311134146120667;0,546591679679477;7214467,74;"2015";0,939912440688943
