Valor Aprovado;Quantidade Aprovada;Ano;Mês
946031043,540003;67201124;;
;0;201;Maio
;0;201;Junho
;2;201;Julho
;0;201;Outubro
;0;204;Outubro
;17;204;Novembro
;0;214;Janeiro
;0;214;Setembro
;4;214;Dezembro
;0;215;Agosto
;2;215;Novembro
;0;1016;Fevereiro
;0;1201;Novembro
;0;1899;Dezembro
;0;1982;Maio
;0;1988;Novembro
;0;2001;Julho
;0;2001;Novembro
;0;2004;Novembro
;0;2005;Abril
;0;2008;Agosto
;55;2011;Março
1810;81;2011;Maio
88;9;2011;Junho
806;2;2011;Julho
90;3;2011;Agosto
4535,34;13;2011;Setembro
2365,7;4682;2011;Outubro
6508,490000000001;8147;2011;Novembro
6318,8;2755;2011;Dezembro
5737,76;4842;2012;Janeiro
605,45;550;2012;Fevereiro
7668,650000000001;17452;2012;Março
8794,599999999999;6773;2012;Abril
10749,79;10611;2012;Maio
6849,75;12853;2012;Junho
2513,05;3867;2012;Julho
5677,48;4534;2012;Agosto
3468,61;2532;2012;Setembro
9414,529999999999;3239;2012;Outubro
42761,33;22280;2012;Novembro
50280,04999999999;7518;2012;Dezembro
95705,30000000008;14003;2013;Janeiro
223371,12000000032;12659;2013;Fevereiro
195614,6800000002;43642;2013;Março
78636,29000000005;12346;2013;Abril
154040,38000000006;8356;2013;Maio
145634,91;10624;2013;Junho
82029,5199999999;39474;2013;Julho
269732,3000000029;11700;2013;Agosto
718991,910000003;28587;2013;Setembro
2523696,9000000465;130891;2013;Outubro
6015556,750000427;325077;2013;Novembro
24741747,41000034;1270874;2013;Dezembro
67443106,37998027;2966021;2014;Janeiro
63603324,74998778;2772968;2014;Fevereiro
66554668,70999798;2884060;2014;Março
67839098,27000314;2957519;2014;Abril
74095187,09997922;3050378;2014;Maio
59087408,479998335;2633467;2014;Junho
77012574,75997736;3239354;2014;Julho
81404849,15997913;3339043;2014;Agosto
81049671,5600117;3268347;2014;Setembro
84378986,88001624;3422845;2014;Outubro
74098458,3500095;3116196;2014;Novembro
65402425,99000496;2773015;2014;Dezembro
79270853,73998696;3265105;2015;Janeiro
66768150,76001636;3014304;2015;Fevereiro
93827988,04000703;4420571;2015;Março
82822241,56999257;3983207;2015;Abril
89601063,8600223;4335205;2015;Maio
79843313,6499337;4035377;2015;Junho
97980743,869996;4598218;2015;Julho
95401376,36997691;4466720;2015;Agosto
92845295,99982376;4403482;2015;Setembro
93850266,33997917;4508534;2015;Outubro
89782389,62001681;4015522;2015;Novembro
76065561,84999162;3608274;2015;Dezembro
87469416,0799875;3773040;2016;Janeiro
81311320,90003368;3648614;2016;Fevereiro
99770264,29000434;4205811;2016;Março
93870078,43995415;3998183;2016;Abril
98367466,13995323;3996847;2016;Maio
89671795,5099997;3550900;2016;Junho
99456393,50001246;4056420;2016;Julho
103340773,51001757;4109124;2016;Agosto
95128206,14995754;3974043;2016;Setembro
93253457,81996448;3988381;2016;Outubro
88934951,98995687;3603853;2016;Novembro
53999184,020002596;2063399;2016;Dezembro
;0;2017;Julho
;8;2021;Junho
;0;2104;Novembro
;0;2105;Julho
;0;2201;Fevereiro
;2;2215;Maio
;3;9201;Setembro
