Valor Aprovado;Quantidade Aprovada;Ano;Mês
90880813,48000075;4437378;2014;Janeiro
85710045,96000084;4010566;2014;Fevereiro
84284818,54000202;4021788;2014;Março
90236328,15999964;4121140;2014;Abril
98850438,19000039;4631651;2014;Maio
83830594,57000025;3970847;2014;Junho
103431642,57000159;4942944;2014;Julho
105130177,37000127;4772523;2014;Agosto
105148237,93999988;4701533;2014;Setembro
113589751,08000226;5010052;2014;Outubro
103098921,16000268;4541229;2014;Novembro
91183918,37000039;4270361;2014;Dezembro
102437468,4900001;4457554;2015;Janeiro
88698465,70000021;4318898;2015;Fevereiro
118628338,2900022;6203987;2015;Março
110473425,89000045;6507255;2015;Abril
111825462,40000209;6245960;2015;Maio
108335074,3000013;6284105;2015;Junho
126782778,70999905;7545144;2015;Julho
123139989,4600004;6985834;2015;Agosto
119623352,30000083;6972038;2015;Setembro
117567248,51998928;6644389;2015;Outubro
114135519,15999676;6339876;2015;Novembro
114918575,76999667;6311528;2015;Dezembro
102977411,849999;5910935;2016;Janeiro
94801707,37000173;4422269;2016;Fevereiro
127005921,29000124;5719176;2016;Março
123162618,31999962;6532532;2016;Abril
125724416,57000586;6338799;2016;Maio
122195271,87000841;5674560;2016;Junho
128131525,72000624;6299637;2016;Julho
136085717,48000303;6282913;2016;Agosto
122603548,06000543;5671506;2016;Setembro
123120945,34000497;5848773;2016;Outubro
126366598,96000353;6497456;2016;Novembro
121938089,5900058;5821404;2016;Dezembro
