"";"prestador";"anomes";"escala"
"1";"A & S CONSULTORIOS";"201401";-0,553610707075462
"2";"A & S CONSULTORIOS";"201402";0,528698225257066
"3";"A & S CONSULTORIOS";"201403";0,629732179298338
"4";"A & S CONSULTORIOS";"201404";-0,217292202527119
"5";"A & S CONSULTORIOS";"201405";1,10445336061555
"6";"A & S CONSULTORIOS";"201406";0,441504538892681
"7";"A & S CONSULTORIOS";"201407";-2,20198658739265
"8";"A & S CONSULTORIOS";"201408";0,488561448994095
"9";"A & S CONSULTORIOS";"201409";0,811039685865552
"10";"A & S CONSULTORIOS";"201410";-0,0525930171721689
"11";"A & S CONSULTORIOS";"201411";-0,00830416060613193
"12";"A & S CONSULTORIOS";"201412";-0,607587751015319
"13";"A & S CONSULTORIOS";"201501";0,213416927577591
"14";"A & S CONSULTORIOS";"201502";-1,05822686657475
"15";"A & S CONSULTORIOS";"201503";0,238883020103062
"16";"A & S CONSULTORIOS";"201504";1,15593915637356
"17";"A & S CONSULTORIOS";"201505";-1,34001471647616
"18";"A & S CONSULTORIOS";"201506";-0,0357078906063673
"19";"A & S CONSULTORIOS";"201507";0,200683881314855
"20";"A & S CONSULTORIOS";"201508";0,753464172329704
"21";"A & S CONSULTORIOS";"201509";0,154180581920516
"22";"A & S CONSULTORIOS";"201510";-0,442611760306832
"23";"A & S CONSULTORIOS";"201511";-0,298119365760136
"24";"A & S CONSULTORIOS";"201512";0,0672637009096686
"25";"A & S CONSULTORIOS";"201601";0,192379720708723
"26";"A & S CONSULTORIOS";"201602";-0,987364696069086
"27";"A & S CONSULTORIOS";"201603";0,282895071315561
"28";"A & S CONSULTORIOS";"201604";0,372856811215324
"29";"A & S CONSULTORIOS";"201605";-0,585443322732301
"30";"A & S CONSULTORIOS";"201606";0,344899470508013
"31";"A & S CONSULTORIOS";"201607";-0,396938876973106
"32";"A & S CONSULTORIOS";"201608";-0,619490381217442
"33";"A & S CONSULTORIOS";"201609";0,825987174956589
"34";"A & S CONSULTORIOS";"201610";-0,221305880153416
"35";"A & S CONSULTORIOS";"201611";0,343847610164569
"36";"A & S CONSULTORIOS";"201612";-0,920737647472551
"37";"A & S CONSULTORIOS";"201701";-1,38078814505226
"38";"A & S CONSULTORIOS";"201702";0,373853310488057
"39";"A & S CONSULTORIOS";"201703";-1,14561431668661
"40";"A & S CONSULTORIOS";"201704";1,53538393500309
"41";"A & S CONSULTORIOS";"201705";1,83657584018749
"42";"A & S CONSULTORIOS";"201706";3,76048376941614
"43";"A M FISIOTERAPIA";"201401";0
"44";"A M FISIOTERAPIA";"201402";0
"45";"A M FISIOTERAPIA";"201403";0
"46";"A M FISIOTERAPIA";"201404";0
"47";"A M FISIOTERAPIA";"201405";0
"48";"A M FISIOTERAPIA";"201406";0
"49";"A M FISIOTERAPIA";"201407";-0,0403437523551976
"50";"A M FISIOTERAPIA";"201408";0,000278232774863416
"51";"A M FISIOTERAPIA";"201409";-0,422635585017553
"52";"A M FISIOTERAPIA";"201410";-0,0553683221978229
"53";"A M FISIOTERAPIA";"201411";0,51806942679571
"54";"A M FISIOTERAPIA";"201412";0
"55";"A M FISIOTERAPIA";"201501";-0,0272668119366163
"56";"A M FISIOTERAPIA";"201502";-0,449902396954169
"57";"A M FISIOTERAPIA";"201503";-0,422635585017553
"58";"A M FISIOTERAPIA";"201504";0,504436020827402
"59";"A M FISIOTERAPIA";"201505";0,395368773080936
"60";"A M FISIOTERAPIA";"201507";0
"61";"A M FISIOTERAPIA";"201508";-0,272668119366163
"62";"A M FISIOTERAPIA";"201509";0,253191825125723
"63";"A M FISIOTERAPIA";"201510";-0,0584288827213207
"64";"A M FISIOTERAPIA";"201511";-0,0584288827213207
"65";"A M FISIOTERAPIA";"201512";0,116857765442641
"66";"A M FISIOTERAPIA";"201601";0,0194762942404402
"67";"A M FISIOTERAPIA";"201602";0
"68";"A M FISIOTERAPIA";"201603";0
"69";"A M FISIOTERAPIA";"201604";0
"70";"A M FISIOTERAPIA";"201605";-0,253191825125723
"71";"A M FISIOTERAPIA";"201606";0,253191825125723
"72";"A M FISIOTERAPIA";"201607";0
"73";"A M FISIOTERAPIA";"201608";-4,20687955593509
"74";"A M FISIOTERAPIA";"201609";4,09002179049245
"75";"A M FISIOTERAPIA";"201610";-0,0389525884808804
"76";"A M FISIOTERAPIA";"201611";-0,0194762942404402
"77";"A M FISIOTERAPIA";"201612";-1,12962506594553
"78";"A M FISIOTERAPIA";"201701";-0,428478473289685
"79";"A M FISIOTERAPIA";"201702";0,175286648163962
"80";"A M FISIOTERAPIA";"201703";1,53862724499478
"81";"A M FISIOTERAPIA";"201704";0
"82";"A M FISIOTERAPIA";"201705";-0,292144413606603
"83";"A M FISIOTERAPIA";"201706";0,311620707847043
"84";"A+ MEDICINA DIAGNOSTICA (FLEURY S.A)";"201401";-1,65848381044856
"85";"A+ MEDICINA DIAGNOSTICA (FLEURY S.A)";"201402";-1,09658555619812
"86";"A+ MEDICINA DIAGNOSTICA (FLEURY S.A)";"201403";2,4946528450364
"87";"A+ MEDICINA DIAGNOSTICA (FLEURY S.A)";"201404";0,155935772629591
"88";"A+ MEDICINA DIAGNOSTICA (FLEURY S.A)";"201405";-0,157227502885642
"89";"A+ MEDICINA DIAGNOSTICA (FLEURY S.A)";"201406";0,00544853672997359
"90";"A+ MEDICINA DIAGNOSTICA (FLEURY S.A)";"201407";-0,274826960338479
"91";"A+ MEDICINA DIAGNOSTICA (FLEURY S.A)";"201408";2,59823615513
"92";"A+ MEDICINA DIAGNOSTICA (FLEURY S.A)";"201409";0,880666960378666
"93";"A+ MEDICINA DIAGNOSTICA (FLEURY S.A)";"201410";-2,80427983819934
"94";"A+ MEDICINA DIAGNOSTICA (FLEURY S.A)";"201411";2,45902280243748
"95";"A+ MEDICINA DIAGNOSTICA (FLEURY S.A)";"201412";0,335755847766827
"96";"A+ MEDICINA DIAGNOSTICA (FLEURY S.A)";"201501";-0,371904609748671
"97";"A+ MEDICINA DIAGNOSTICA (FLEURY S.A)";"201502";-0,539854516780665
"98";"A+ MEDICINA DIAGNOSTICA (FLEURY S.A)";"201503";0,279404794779403
"99";"A+ MEDICINA DIAGNOSTICA (FLEURY S.A)";"201504";0,345688053227031
"100";"A+ MEDICINA DIAGNOSTICA (FLEURY S.A)";"201505";-0,094911984968625
"101";"A+ MEDICINA DIAGNOSTICA (FLEURY S.A)";"201506";0,0212467811819162
"102";"A+ MEDICINA DIAGNOSTICA (FLEURY S.A)";"201507";0,109229286316821
"103";"A+ MEDICINA DIAGNOSTICA (FLEURY S.A)";"201508";-0,27895526736174
"104";"A+ MEDICINA DIAGNOSTICA (FLEURY S.A)";"201509";-0,157660723916586
"105";"A+ MEDICINA DIAGNOSTICA (FLEURY S.A)";"201510";-0,62274972306796
"106";"A+ MEDICINA DIAGNOSTICA (FLEURY S.A)";"201511";-0,344390887508741
"107";"A+ MEDICINA DIAGNOSTICA (FLEURY S.A)";"201512";0,427115684709602
"108";"A+ MEDICINA DIAGNOSTICA (FLEURY S.A)";"201601";-0,524344351827427
"109";"A+ MEDICINA DIAGNOSTICA (FLEURY S.A)";"201602";0,424377386975861
"110";"A+ MEDICINA DIAGNOSTICA (FLEURY S.A)";"201603";0,485065057404274
"111";"A+ MEDICINA DIAGNOSTICA (FLEURY S.A)";"201604";0,148041424796128
"112";"A+ MEDICINA DIAGNOSTICA (FLEURY S.A)";"201605";0,319784403045138
"113";"A+ MEDICINA DIAGNOSTICA (FLEURY S.A)";"201606";0,0135563366346349
"114";"A+ MEDICINA DIAGNOSTICA (FLEURY S.A)";"201607";-0,520147293552054
"115";"A+ MEDICINA DIAGNOSTICA (FLEURY S.A)";"201608";0,507246150473883
"116";"A+ MEDICINA DIAGNOSTICA (FLEURY S.A)";"201609";0,0469197914795833
"117";"A+ MEDICINA DIAGNOSTICA (FLEURY S.A)";"201610";-0,317973071979847
"118";"A+ MEDICINA DIAGNOSTICA (FLEURY S.A)";"201611";0,438900354462857
"119";"A+ MEDICINA DIAGNOSTICA (FLEURY S.A)";"201612";-0,350064334851931
"120";"A+ MEDICINA DIAGNOSTICA (FLEURY S.A)";"201701";-0,533409821416973
"121";"A+ MEDICINA DIAGNOSTICA (FLEURY S.A)";"201702";0,427582840653448
"122";"A+ MEDICINA DIAGNOSTICA (FLEURY S.A)";"201703";-0,806870864785049
"123";"A+ MEDICINA DIAGNOSTICA (FLEURY S.A)";"201704";-0,0768574360696593
"124";"A+ MEDICINA DIAGNOSTICA (FLEURY S.A)";"201705";-0,487513953499845
"125";"A+ MEDICINA DIAGNOSTICA (FLEURY S.A)";"201706";2,14147075842464
"126";"A+ MEDICINA DIAGNOSTICA E DIAGNOSON";"201401";-1,45136987901176
"127";"A+ MEDICINA DIAGNOSTICA E DIAGNOSON";"201402";-1,04729898712132
"128";"A+ MEDICINA DIAGNOSTICA E DIAGNOSON";"201403";1,01777974934112
"129";"A+ MEDICINA DIAGNOSTICA E DIAGNOSON";"201404";3,70196637483227
