"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"QIP";"QPP";"DIPP";"DFPP";"QMP";"DFCP";"CC"
"1";"10001018002P1";"CIÊNCIAS BIOLÓGICAS III";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"3";4;33;0,121212121212121;1,75862068965517;2,58620689655172;0,778989401403195;0,450100761307658
"2";"10001018004P4";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"4";4;34;0,117647058823529;1,77777777777778;1,55555555555556;0,833333333333333;0,475490196078431
"3";"10001018005P0";"GEOGRAFIA";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";1;8;0,125;1,07142857142857;1,14285714285714;0,964285714285714;0,544642857142857
"4";"10001018006P7";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";2;3;0,666666666666667;1,77777777777778;1,33333333333333;0,944444444444444;0,805555555555556
"5";"10001018008P0";NA;NA;NA;NA;NA;NA;2;9;0,222222222222222;NA;NA;NA;NA
"6";"10001018009P6";"PSICOLOGIA";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";4;21;0,19047619047619;1,53846153846154;1,76923076923077;0,916666666666667;0,553571428571429
"7";"10001018010P4";"LETRAS / LINGUÍSTICA";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";1;5;0,2;2,33333333333333;1,66666666666667;1;0,6
"8";"10001018011P0";"EDUCAÇÃO";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";5;18;0,277777777777778;2,5;1,16666666666667;1;0,638888888888889
"9";"10001018012P7";"LETRAS / LINGUÍSTICA";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";2;7;0,285714285714286;2;1,5;1;0,642857142857143
"10";"10001018013P3";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2012;"PROFISSIONAL";"3";1;1;1;NA;NA;NA;NA
"11";"10001018016P2";"EDUCAÇÃO";"FEDERAL";"PÚBLICA";2014;"PROFISSIONAL";"3";6;24;0,25;1,5;1,27777777777778;0,981481481481482;0,615740740740741
"12";"10001018017P9";"CIÊNCIAS AMBIENTAIS";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";7;52;0,134615384615385;1,48571428571429;1,51428571428571;0,985714285714286;0,560164835164835
"13";"11001011001P8";"BIODIVERSIDADE";"FEDERAL";"PÚBLICA";1996;"ACADÊMICO";"3";1;5;0,2;NA;NA;NA;NA
"14";"11001011004P7";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";3;11;0,272727272727273;2;4;0,5;0,386363636363636
"15";"11001011005P3";"SAÚDE COLETIVA";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"4";4;8;0,5;1,16666666666667;1,16666666666667;1;0,75
"16";"11001011006P0";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";3;18;0,166666666666667;3,22222222222222;3,11111111111111;1;0,583333333333333
