"";"CD_PROGRAMA_IES";"ID_PROJETO";"DFPP";"QMP";"DFCP"
"1";"10001018002P1";254229;3;5;0,6
"2";"10001018002P1";281461;1;2;0,5
"3";"10001018002P1";281506;6;11;0,545454545454545
"4";"10001018002P1";281550;1;1;1
"5";"10001018002P1";281556;2;3;0,666666666666667
"6";"10001018002P1";281569;1;1;1
"7";"10001018002P1";281575;1;1;1
"8";"10001018002P1";281577;1;2;0,5
"9";"10001018002P1";281593;1;1;1
"10";"10001018002P1";300058;2;2;1
"11";"10001018002P1";332254;2;4;0,5
"12";"10001018002P1";361561;1;2;0,5
"13";"10001018002P1";361588;3;5;0,6
"14";"10001018002P1";392434;2;2;1
"15";"10001018002P1";392436;2;3;0,666666666666667
"16";"10001018002P1";392455;2;2;1
"17";"10001018002P1";392456;3;4;0,75
"18";"10001018002P1";393871;3;7;0,428571428571429
"19";"10001018002P1";406405;1;1;1
"20";"10001018002P1";406435;1;3;0,333333333333333
"21";"10001018002P1";412713;1;1;1
"22";"10001018002P1";412816;1;1;1
"23";"10001018002P1";412860;1;1;1
"24";"10001018002P1";412874;1;2;0,5
"25";"10001018002P1";412876;1;1;1
"26";"10001018002P1";412890;1;2;0,5
"27";"10001018002P1";413306;1;1;1
"28";"10001018002P1";413352;2;2;1
"29";"10001018004P4";393707;1;2;0,5
"30";"10001018004P4";393732;1;2;0,5
"31";"10001018004P4";393735;1;1;1
"32";"10001018004P4";393739;2;4;0,5
"33";"10001018004P4";393917;1;1;1
"34";"10001018004P4";393925;1;1;1
"35";"10001018004P4";77510;1;1;1
"36";"10001018005P0";298626;1;2;0,5
"37";"10001018005P0";298676;1;1;1
"38";"10001018005P0";298698;1;1;1
"39";"10001018005P0";320231;1;1;1
"40";"10001018005P0";320250;1;1;1
"41";"10001018005P0";320278;2;2;1
"42";"10001018005P0";326762;1;1;1
"43";"10001018005P0";326763;1;1;1
"44";"10001018005P0";326782;1;1;1
"45";"10001018005P0";326790;1;1;1
"46";"10001018005P0";332076;1;1;1
