"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"QFDPD";"QFDPM";"QFDPG";"QPPP";"DFDDo";"DFDM";"DFDG";"FCDo"
"1";"10001018002P1";"CIÊNCIAS BIOLÓGICAS III";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"3";10;7;7;15;0,666666666666667;0,466666666666667;0,466666666666667;0,533333333333333
"2";"10001018004P4";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"4";13;13;11;15;0,866666666666667;0,866666666666667;0,733333333333333;0,822222222222222
"3";"10001018005P0";"GEOGRAFIA";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";5;6;4;15;0,333333333333333;0,4;0,266666666666667;0,333333333333333
"4";"10001018006P7";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";7;5;6;9;0,777777777777778;0,555555555555556;0,666666666666667;0,666666666666667
"5";"10001018009P6";"PSICOLOGIA";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";4;4;5;10;0,4;0,4;0,5;0,433333333333333
"6";"10001018010P4";"LETRAS / LINGUÍSTICA";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";10;5;6;15;0,666666666666667;0,333333333333333;0,4;0,466666666666667
"7";"10001018011P0";"EDUCAÇÃO";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";5;6;10;11;0,454545454545455;0,545454545454545;0,909090909090909;0,636363636363636
"8";"10001018012P7";"LETRAS / LINGUÍSTICA";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";10;8;7;14;0,714285714285714;0,571428571428571;0,5;0,595238095238095
"9";"10001018016P2";"EDUCAÇÃO";"FEDERAL";"PÚBLICA";2014;"PROFISSIONAL";"3";5;10;10;17;0,294117647058824;0,588235294117647;0,588235294117647;0,490196078431373
"10";"10001018017P9";"CIÊNCIAS AMBIENTAIS";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";10;12;10;15;0,666666666666667;0,8;0,666666666666667;0,711111111111111
"11";"10001018039P2";NA;NA;NA;NA;NA;NA;10;11;11;14;0,714285714285714;0,785714285714286;0,785714285714286;0,761904761904762
"12";"10001018040P0";NA;NA;NA;NA;NA;NA;9;11;10;12;0,75;0,916666666666667;0,833333333333333;0,833333333333333
"13";"11001011001P8";"BIODIVERSIDADE";"FEDERAL";"PÚBLICA";1996;"ACADÊMICO";"3";11;10;4;15;0,733333333333333;0,666666666666667;0,266666666666667;0,555555555555555
"14";"11001011003P0";"LETRAS / LINGUÍSTICA";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";11;8;8;15;0,733333333333333;0,533333333333333;0,533333333333333;0,6
"15";"11001011004P7";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";6;9;6;17;0,352941176470588;0,529411764705882;0,352941176470588;0,411764705882353
"16";"11001011005P3";"SAÚDE COLETIVA";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"4";6;8;8;13;0,461538461538462;0,615384615384615;0,615384615384615;0,564102564102564
"17";"11001011006P0";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";11;11;11;15;0,733333333333333;0,733333333333333;0,733333333333333;0,733333333333333
"18";"11001011007P6";"ENSINO";"FEDERAL";"PÚBLICA";2014;"PROFISSIONAL";"3";7;10;10;15;0,466666666666667;0,666666666666667;0,666666666666667;0,6
"19";"11001011008P2";"MEDICINA VETERINÁRIA";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"4";11;13;6;22;0,5;0,590909090909091;0,272727272727273;0,454545454545455
"20";"11001011009P9";"EDUCAÇÃO";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";3;4;2;11;0,272727272727273;0,363636363636364;0,181818181818182;0,272727272727273
"21";"11001011070P0";"MEDICINA II";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";16;16;12;21;0,761904761904762;0,761904761904762;0,571428571428571;0,698412698412698
