"";"CD_PROGRAMA_IES";"QPA"
"1";"10001018017P9";1
"2";"11001011008P2";2
"3";"12001015012P2";21
"4";"12001015021P1";7
"5";"12002011001P7";1
"6";"12002011010P6";1
"7";"12003018001P3";1
"8";"12006017003P5";1
"9";"12008010003P1";1
"10";"12008010008P3";2
"11";"13001019008P8";7
"12";"15001016002P5";3
"13";"15001016004P8";4
"14";"15001016009P0";3
"15";"15001016031P5";1
"16";"15001016032P1";4
"17";"15001016033P8";2
"18";"15001016037P3";1
"19";"15001016039P6";1
"20";"15001016041P0";2
"21";"15001016045P6";2
"22";"15001016047P9";3
"23";"15001016050P0";2
"24";"15001016051P6";1
"25";"15001016068P6";3
"26";"15001016069P2";1
"27";"15001016071P7";3
"28";"15001016078P1";1
"29";"15001016092P4";5
"30";"15002012008P0";2
"31";"15006018006P2";2
"32";"15006018008P5";3
"33";"15008010001P3";2
"34";"15012018001P7";2
"35";"15012018002P3";1
"36";"15021017001P2";2
"37";"15024016001P1";4
"38";"15025012001P8";1
"39";"16003012002P0";1
"40";"16003012004P3";1
"41";"16003012007P2";1
"42";"16003012010P3";1
"43";"16003012011P0";1
"44";"16003012014P9";8
"45";"16003012015P5";1
"46";"16003012016P1";4
"47";"16003012017P8";2
"48";"16003012157P4";4
"49";"16003012159P7";3
"50";"20001010012P5";1
"51";"20001010014P8";33
"52";"20001010017P7";22
"53";"20001010028P9";1
"54";"20002017004P9";4
"55";"20002017007P8";1
"56";"21001014002P2";1
"57";"21001014008P0";2
"58";"21001014019P2";1
"59";"21001014022P3";3
"60";"21001014025P2";10
"61";"21001014031P2";9
"62";"21001014034P1";10
"63";"21001014075P0";2
"64";"22001018001P9";1
"65";"22001018003P1";2
"66";"22001018004P8";5
"67";"22001018008P3";1
"68";"22001018010P8";10
"69";"22001018012P0";1
"70";"22001018023P2";1
"71";"22001018024P9";2
"72";"22001018027P8";2
"73";"22001018031P5";6
"74";"22001018047P9";7
"75";"22001018048P5";1
"76";"22001018059P7";8
"77";"22001018078P1";2
"78";"22002014002P1";15
"79";"22002014004P4";2
"80";"22002014009P6";1
"81";"22002014012P7";1
"82";"22003010004P0";2
"83";"22003010006P3";1
"84";"22003010013P0";5
"85";"22003010016P9";4
"86";"22003010017P5";13
"87";"22003010071P0";2
"88";"22004017003P0";1
"89";"22008012003P6";1
"90";"22008012004P2";1
"91";"22008012005P9";1
"92";"23001011008P6";9
"93";"23001011009P2";5
"94";"23001011012P3";2
"95";"23001011020P6";1
"96";"23001011021P2";13
"97";"23001011025P8";1
"98";"23001011029P3";2
"99";"23001011036P0";5
"100";"23001011041P3";3
"101";"23001011042P0";3
"102";"23001011051P9";1
"103";"23001011056P0";1
"104";"23001011062P0";1
"105";"23001011063P7";18
"106";"23001011067P2";3
"107";"23001011071P0";11
"108";"23001011072P6";7
"109";"23001011074P9";9
"110";"23001011170P8";1
"111";"23001011171P4";1
"112";"23001011173P7";1
"113";"23002018002P4";9
"114";"23002018009P9";1
"115";"23002018071P6";1
"116";"23003014016P1";1
"117";"23003014072P9";2
"118";"23004010002P7";1
"119";"23004010008P5";1
"120";"23009004001P7";7
"121";"24001015015P5";2
"122";"24001015017P8";1
"123";"24001015034P0";2
"124";"24001015047P4";20
"125";"24001015049P7";1
"126";"24001015055P7";8
"127";"24001015059P2";1
"128";"24001015062P3";3
"129";"24001015067P5";2
"130";"24001015068P1";2
"131";"24001015071P2";4
"132";"24004014009P4";1
"133";"24007013001P2";3
"134";"24009016003P8";1
"135";"24009016005P0";24
"136";"24009016007P3";3
"137";"24009016010P4";2
"138";"24009016031P1";1
"139";"25001019001P7";1
"140";"25001019004P6";6
"141";"25001019021P8";24
"142";"25001019026P0";1
"143";"25001019036P5";3
"144";"25001019050P8";6
"145";"25001019052P0";2
"146";"25001019062P6";6
"147";"25001019065P5";22
"148";"25001019069P0";4
"149";"25001019072P1";2
"150";"25001019073P8";3
"151";"25001019091P6";1
"152";"25002015003P6";12
"153";"25002015005P9";8
"154";"25003011001P0";1
"155";"25003011010P9";1
"156";"25003011011P5";2
"157";"25003011012P1";2
"158";"25003011013P8";1
"159";"25003011032P2";2
"160";"25004018010P5";1
"161";"25004018011P1";9
"162";"25004018012P8";1
"163";"25004018018P6";5
"164";"25009010001P1";3
"165";"25017012001P7";2
"166";"25019015001P0";23
"167";"25020013001P4";1
"168";"25020013004P3";2
"169";"25020013005P0";4
"170";"26001012012P1";5
"171";"26001012014P4";5
"172";"26001012017P3";18
"173";"26001012019P6";1
"174";"26001012030P0";1
"175";"26001012033P9";1
"176";"26001012035P1";2
"177";"27001016010P1";14
"178";"27001016014P7";3
"179";"27001016021P3";2
"180";"27001016027P1";16
"181";"27001016029P4";50
"182";"27001016034P8";1
"183";"27001016041P4";1
"184";"27001016045P0";8
"185";"28001010001P9";1
"186";"28001010002P5";3
"187";"28001010003P1";3
"188";"28001010005P4";3
"189";"28001010007P7";1
"190";"28001010020P3";2
"191";"28001010024P9";4
"192";"28001010026P1";6
"193";"28001010032P1";2
"194";"28001010035P0";1
"195";"28001010045P6";8
"196";"28001010052P2";2
"197";"28001010055P1";4
"198";"28001010060P5";4
"199";"28001010061P1";14
"200";"28001010062P8";3
"201";"28001010063P4";1
"202";"28001010064P0";16
"203";"28001010071P7";4
"204";"28001010081P2";2
"205";"28001010082P9";1
"206";"28001010085P8";3
"207";"28001010090P1";7
"208";"28001010095P3";10
"209";"28002016005P7";5
"210";"28002016016P9";1
"211";"28002016019P8";1
"212";"28003012002P4";1
"213";"28005015001P0";17
"214";"28005015011P6";25
"215";"28005015012P2";1
"216";"28006011002P3";1
"217";"28006011005P2";1
"218";"28006011007P5";3
"219";"28006011011P2";1
"220";"28007018005P9";1
"221";"28007018011P9";1
"222";"28007018013P1";1
"223";"28007018016P0";4
"224";"28008014002P6";1
"225";"28008014004P9";2
"226";"28010019065P9";1
"227";"28013018004P9";3
"228";"28013018005P5";3
"229";"28022017002P1";1
"230";"28022017003P8";1
"231";"28023013001P1";16
"232";"28023013002P8";38
"233";"28025016001P4";1
"234";"30001013004P0";15
"235";"30001013005P7";2
"236";"30001013007P0";3
"237";"30001013012P3";2
"238";"30001013014P6";4
"239";"30001013019P8";4
"240";"30001013029P3";1
"241";"30001013032P4";1
"242";"30001013045P9";2
"243";"30001013047P1";1
"244";"30001013048P8";1
"245";"30001013054P8";2
"246";"30004012002P7";3
"247";"30004012072P5";1
"248";"30004012073P1";1
"249";"30007011001P0";3
"250";"30007011002P6";1
"251";"30007011003P2";1
"252";"31001017003P7";1
"253";"31001017004P3";1
"254";"31001017006P6";2
"255";"31001017024P4";4
"256";"31001017027P3";2
"257";"31001017028P0";7
"258";"31001017029P6";1
"259";"31001017030P4";5
"260";"31001017035P6";1
"261";"31001017038P5";1
"262";"31001017059P2";1
"263";"31001017072P9";11
"264";"31001017087P6";1
"265";"31001017088P2";1
"266";"31001017100P2";2
"267";"31001017102P5";4
"268";"31001017103P1";8
"269";"31001017112P0";1
"270";"31001017115P0";1
"271";"31001017125P5";2
"272";"31001017132P1";8
"273";"31001017134P4";1
"274";"31001017139P6";2
"275";"31001017141P0";1
"276";"31001017142P7";2
"277";"31001017145P6";1
"278";"31001017149P1";1
"279";"31001017155P1";1
"280";"31002013002P7";2
"281";"31002013011P6";1
"282";"31002013014P5";4
"283";"31002013015P1";7
"284";"31002013022P8";10
"285";"31002013026P3";1
"286";"31002013028P6";5
"287";"31003010019P7";4
"288";"31003010032P3";5
"289";"31003010036P9";2
"290";"31003010039P8";1
"291";"31003010040P6";1
"292";"31003010045P8";4
"293";"31003010046P4";2
"294";"31003010054P7";2
"295";"31003010055P3";4
"296";"31003010067P1";2
"297";"31003010077P7";2
"298";"31003010085P0";1
"299";"31003010086P6";2
"300";"31003010087P2";7
"301";"31003010089P5";3
"302";"31003010092P6";1
"303";"31003010097P8";2
"304";"31004016004P2";5
"305";"31004016013P1";2
"306";"31004016021P4";25
"307";"31004016022P0";2
"308";"31004016031P0";1
"309";"31004016034P9";3
"310";"31004016039P0";1
"311";"31004016040P9";4
"312";"31004016041P5";2
"313";"31004016042P1";2
"314";"31004016043P8";9
"315";"31004016044P4";2
"316";"31004016049P6";4
"317";"31004016053P3";7
"318";"31004016063P9";1
"319";"31004016065P1";1
"320";"31004016156P7";1
"321";"31005012004P9";17
"322";"31005012010P9";1
"323";"31005012011P5";4
"324";"31005012013P8";2
"325";"31005012014P4";16
"326";"31005012028P5";7
"327";"31005012032P2";16
"328";"31007015004P1";1
"329";"31007015009P3";2
"330";"31007015010P1";1
"331";"31009018003P8";6
"332";"31010016002P6";2
"333";"31010016003P2";3
"334";"31010016005P5";1
"335";"31010016009P0";4
"336";"31010016012P1";2
"337";"31010016015P0";1
"338";"31010016022P7";3
"339";"31010016027P9";4
"340";"31010016150P5";1
"341";"31011012004P5";4
"342";"31011012011P1";21
"343";"31013015002P5";2
"344";"31018017008P5";3
"345";"31019013004P6";6
