"";"CD_PROGRAMA_IES";"QPPr"
"1";"10001018004P4";1
"2";"10001018006P7";3
"3";"10001018009P6";2
"4";"10001018017P9";3
"5";"11001011009P9";2
"6";"12001015001P0";1
"7";"12001015002P7";1
"8";"12001015009P1";1
"9";"12001015012P2";1
"10";"12001015013P9";2
"11";"12001015016P8";9
"12";"12001015021P1";2
"13";"12001015033P0";1
"14";"12001015034P6";2
"15";"12001015042P9";1
"16";"12002011004P6";1
"17";"12002011006P9";1
"18";"12002011010P6";1
"19";"12003018001P3";2
"20";"13001019004P2";2
"21";"14001012003P9";1
"22";"14001012005P1";1
"23";"15001016007P7";3
"24";"15001016009P0";1
"25";"15001016010P8";7
"26";"15001016032P1";1
"27";"15001016035P0";1
"28";"15001016038P0";2
"29";"15001016039P6";1
"30";"15001016040P4";3
"31";"15001016044P0";8
"32";"15001016051P6";1
"33";"15001016055P1";2
"34";"15001016059P7";1
"35";"15001016060P5";2
"36";"15001016076P9";5
"37";"15001016077P5";5
"38";"15001016078P1";3
"39";"15001016084P1";2
"40";"15001016088P7";1
"41";"15004015004P7";1
"42";"15004015005P3";1
"43";"15006018002P7";3
"44";"15006018006P2";3
"45";"15006018007P9";1
"46";"15008010001P3";2
"47";"15010015001P4";2
"48";"15010015002P0";1
"49";"15012018001P7";3
"50";"16003012003P7";3
"51";"16003012007P2";1
"52";"16003012011P0";1
"53";"16003012016P1";2
"54";"20001010009P4";5
"55";"20002017005P5";1
"56";"20009011002P0";2
"57";"21001014007P4";1
"58";"21001014008P0";2
"59";"21001014022P3";11
"60";"21001014023P0";1
"61";"21001014024P6";4
"62";"21001014025P2";1
"63";"21001014033P5";1
"64";"22001018004P8";1
"65";"22001018007P7";2
"66";"22001018012P0";2
"67";"22001018013P7";2
"68";"22001018014P3";3
"69";"22001018021P0";2
"70";"22001018023P2";1
"71";"22001018024P9";3
"72";"22001018032P1";3
"73";"22001018035P0";7
"74";"22001018044P0";1
"75";"22001018046P2";1
"76";"22001018048P5";8
"77";"22001018064P0";1
"78";"22001018074P6";1
"79";"22001018079P8";1
"80";"22001018084P1";2
"81";"22002014007P3";1
"82";"22003010004P0";1
"83";"22003010006P3";1
"84";"22003010013P0";1
"85";"22003010017P5";20
"86";"22003010021P2";1
"87";"22003010022P9";5
"88";"22003010024P1";1
"89";"22003010026P4";2
"90";"22008012002P0";3
"91";"22011013001P0";1
"92";"23001011008P6";1
"93";"23001011009P2";1
"94";"23001011010P0";1
"95";"23001011032P4";1
"96";"23001011033P0";1
"97";"23001011036P0";2
"98";"23001011040P7";4
"99";"23001011041P3";1
"100";"23001011047P1";10
"101";"23001011051P9";1
"102";"23001011056P0";1
"103";"23001011060P8";1
"104";"23001011069P5";1
"105";"23001011072P6";2
"106";"23001011074P9";1
"107";"23003014018P4";2
"108";"23004010003P3";4
"109";"24001015015P5";9
"110";"24001015034P0";1
"111";"24001015041P6";1
"112";"24001015048P0";1
"113";"24001015052P8";4
"114";"24001015057P0";1
"115";"24001015062P3";3
"116";"24004014012P5";1
"117";"24004014014P8";2
"118";"24009016014P0";2
"119";"24009016025P1";18
"120";"25001019001P7";1
"121";"25001019020P1";2
"122";"25001019027P6";3
"123";"25001019036P5";1
"124";"25001019040P2";1
"125";"25001019045P4";9
"126";"25001019073P8";20
"127";"25001019075P0";15
"128";"25001019087P9";15
"129";"25003011005P5";2
"130";"25003011017P3";1
"131";"25003011029P1";3
"132";"25003011033P9";1
"133";"25007017001P5";1
"134";"25017012001P7";4
"135";"25020013001P4";1
"136";"25020013003P7";1
"137";"25020013008P9";1
"138";"26001012003P2";4
"139";"26001012012P1";1
"140";"26001012017P3";2
"141";"26001012028P5";1
"142";"26001012036P8";5
"143";"27001016003P5";1
"144";"27001016007P0";1
"145";"27001016008P7";4
"146";"27001016009P3";18
"147";"27001016015P3";3
"148";"27001016016P0";2
"149";"27001016019P9";4
"150";"27001016027P1";2
"151";"27001016029P4";1
"152";"27001016031P9";1
"153";"27002012001P9";1
"154";"27002012002P5";4
"155";"27002012004P8";1
"156";"28001010002P5";2
"157";"28001010004P8";1
"158";"28001010012P0";1
"159";"28001010020P3";1
"160";"28001010021P0";1
