"";"CD_PROGRAMA_IES";"SPPAP"
"1";"10001018004P4";1
"2";"10001018017P9";4
"3";"11001011007P6";1
"4";"11001011008P2";1
"5";"12001015002P7";10
"6";"12001015003P3";1
"7";"12001015013P9";12
"8";"12001015016P8";10
"9";"12001015033P0";7
"10";"12001015034P6";1
"11";"12001015038P1";39
"12";"12002011003P0";1
"13";"12002011006P9";2
"14";"12002011009P8";1
"15";"12002011010P6";2
"16";"12002011011P2";1
"17";"12002011012P9";1
"18";"12008010003P1";4
"19";"13001019007P1";1
"20";"14001012003P9";1
"21";"14001012004P5";1
"22";"14001012005P1";9
"23";"15001016004P8";26
"24";"15001016007P7";7
"25";"15001016010P8";3
"26";"15001016018P9";4
"27";"15001016028P4";1
"28";"15001016032P1";3
"29";"15001016037P3";19
"30";"15001016039P6";1
"31";"15001016044P0";3
"32";"15001016049P1";9
"33";"15001016051P6";7
"34";"15001016059P7";1
"35";"15001016063P4";1
"36";"15001016068P6";5
"37";"15001016073P0";1
"38";"15001016075P2";5
"39";"15001016076P9";5
"40";"15001016079P8";1
"41";"15001016080P6";1
"42";"15001016085P8";1
"43";"15001016086P4";3
"44";"15002012007P3";1
"45";"15006018003P3";1
"46";"15010015002P0";1
"47";"15010015003P7";1
"48";"15010015004P3";2
"49";"15010015070P6";1
"50";"15024016001P1";2
"51";"16003012003P7";3
"52";"16003012005P0";3
"53";"16003012007P2";3
"54";"16003012010P3";2
"55";"16003012011P0";46
"56";"16003012012P6";4
"57";"16003012016P1";2
"58";"20001010004P2";5
"59";"20001010006P5";3
"60";"20001010009P4";11
"61";"20001010012P5";7
"62";"20001010014P8";15
"63";"20001010017P7";2
"64";"20001010023P7";7
"65";"20001010026P6";1
"66";"20001010028P9";1
"67";"20001010031P0";1
"68";"20001010043P8";1
"69";"20002017004P9";1
"70";"20003013001P6";1
"71";"20003013002P2";1
"72";"20009011001P4";2
"73";"20009011002P0";10
"74";"21001014002P2";2
"75";"21001014003P9";17
"76";"21001014004P5";4
"77";"21001014011P1";1
"78";"21001014013P4";6
"79";"21001014020P0";5
"80";"21001014022P3";12
"81";"21001014024P6";16
"82";"21001014025P2";12
"83";"21001014029P8";1
"84";"21001014034P1";6
"85";"22001018002P5";5
"86";"22001018004P8";21
"87";"22001018006P0";7
"88";"22001018007P7";4
"89";"22001018012P0";5
"90";"22001018013P7";1
"91";"22001018014P3";15
"92";"22001018016P6";1
"93";"22001018017P2";28
"94";"22001018019P5";4
"95";"22001018023P2";3
"96";"22001018031P5";2
"97";"22001018032P1";1
"98";"22001018035P0";2
"99";"22001018046P2";6
"100";"22001018047P9";1
"101";"22001018048P5";11
"102";"22001018052P2";1
"103";"22001018054P5";7
"104";"22001018059P7";2
"105";"22001018061P1";3
"106";"22001018064P0";8
"107";"22001018072P3";7
"108";"22001018074P6";3
"109";"22001018079P8";5
"110";"22001018080P6";5
"111";"22001018082P9";5
"112";"22001018085P8";1
"113";"22002014004P4";3
"114";"22002014007P3";4
"115";"22003010001P1";16
"116";"22003010012P3";1
"117";"22003010014P6";2
"118";"22003010017P5";358
"119";"22003010022P9";16
"120";"22003010026P4";4
"121";"22003010028P7";8
"122";"22005013001P4";1
"123";"22008012001P3";3
"124";"22008012002P0";3
"125";"22008012003P6";11
"126";"22008012004P2";2
"127";"22008012005P9";5
"128";"22021019001P2";3
