"";"NM_AREA_AVALIACAO";"NM_PROGRAMA_IES";"QT_PRJ"
"1";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADMINISTRAÇÃO";2470
"2";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"CIÊNCIAS CONTÁBEIS";313
"3";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADMINISTRAÇÃO DE EMPRESAS";153
"4";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADMINISTRAÇÃO PÚBLICA EM REDE NACIONAL";141
"5";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"TURISMO";101
"6";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"CONTROLADORIA E CONTABILIDADE";99
"7";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"CONTABILIDADE";92
"8";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADMINISTRAÇÃO PÚBLICA";76
"9";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADMINISTRAÇÃO E CONTROLADORIA";69
"10";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO PÚBLICA";66
"11";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO DE ORGANIZAÇÕES E SISTEMAS PÚBLICOS";63
"12";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"PROFNIT - PROPRIEDADE INTELECTUAL E TRANSFERÊNCIA DE TECNOLOGIA PARA INOVAÇÃO";58
"13";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADMINISTRAÇÃO DE ORGANIZAÇÕES";51
"14";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADMINISTRAÇÃO - GESTÃO, INTERNACIONALIZAÇÃO E LOGÍSTICA";44
"15";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO DO DESENVOLVIMENTO LOCAL SUSTENTÁVEL";38
"16";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADMINISTRAÇÃO PÚBLICA E GOVERNO";36
"17";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADMINISTRAÇÃO E NEGÓCIOS";29
"18";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADMINISTRAÇÃO E DESENVOLVIMENTO RURAL";27
"19";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO E DESENVOLVIMENTO REGIONAL";27
"20";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO PARA A COMPETITIVIDADE";27
"21";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO INTERNACIONAL";23
"22";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"DESENVOLVIMENTO TERRITORIAL E SISTEMAS AGROINDUSTRIAIS";22
"23";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"HOSPITALIDADE";22
"24";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"TURISMO E HOSPITALIDADE";22
"25";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADMINISTRAÇÃO E CIÊNCIAS CONTÁBEIS";20
"26";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO DE COOPERATIVAS";20
"27";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO E POLÍTICAS PÚBLICAS";20
"28";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADMINISTRAÇÃO E NEGÓCIOS - PUC-RS - UCS";19
"29";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO CONTEMPORÂNEA DAS ORGANIZAÇÕES";19
"30";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO E ESTRATÉGIA";19
"31";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADMINISTRAÇÃO DAS MICRO E PEQUENAS EMPRESAS";17
"32";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"CONTROLADORIA";17
"33";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO ORGANIZACIONAL";16
"34";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO DE NEGÓCIOS TURÍSTICOS";15
"35";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO E NEGÓCIOS";15
"36";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO ESTRATÉGICA DE ORGANIZAÇÕES";15
"37";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADMINISTRAÇÃO E DESENVOLVIMENTO EMPRESARIAL";14
"38";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADMINISTRAÇÃO UNIVERSITÁRIA";14
"39";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"EMPREENDEDORISMO";14
"40";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO DO ESPORTE";14
"41";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO EM ALIMENTOS E BEBIDAS (A&B)";12
"42";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO EM SISTEMAS DE SAÚDE";12
"43";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO E INOVAÇÃO NA INDÚSTRIA ANIMAL";11
"44";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO EM ORGANIZAÇÕES APRENDENTES";11
"45";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"CIÊNCIAS CONTÁBEIS E ADMINISTRAÇÃO";10
"46";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GOVERNANÇA CORPORATIVA";10
"47";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"TURISMO E HOTELARIA";10
"48";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"MESTRADO PROFISSIONAL EM CONTROLADORIA E FINANÇAS";9
"49";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO AMBIENTAL E SUSTENTABILIDADE";8
"50";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO DE PROJETOS";7
"51";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO PÚBLICA E COOPERAÇÃO INTERNACIONAL";6
"52";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADMINISTRAÇÃO DO DESENVOLVIMENTO DE NEGÓCIOS";5
"53";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"INOVAÇÃO E DESENVOLVIMENTO";5
"54";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"COMPORTAMENTO DO CONSUMIDOR";4
"55";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"TECNOLOGIAS, GESTÃO E SUSTENTABILIDADE";4
"56";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"CIÊNCIAS CONTÁBEIS E ATUARIAIS";3
"57";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO DE NEGÓCIOS";3
"58";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO DE POLÍTICAS E ORGANIZAÇÕES PÚBLICAS";3
"59";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO DE POLÍTICAS PÚBLICAS";3
"60";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"GESTÃO EMPRESARIAL";3
"61";"ANTROPOLOGIA / ARQUEOLOGIA";"ANTROPOLOGIA";431
"62";"ANTROPOLOGIA / ARQUEOLOGIA";"ANTROPOLOGIA SOCIAL";321
"63";"ANTROPOLOGIA / ARQUEOLOGIA";"ARQUEOLOGIA";130
"64";"ANTROPOLOGIA / ARQUEOLOGIA";"CIÊNCIA SOCIAL (ANTROPOLOGIA SOCIAL)";24
"65";"ARQUITETURA, URBANISMO E DESIGN";"ARQUITETURA E URBANISMO";708
"66";"ARQUITETURA, URBANISMO E DESIGN";"DESIGN";332
"67";"ARQUITETURA, URBANISMO E DESIGN";"ARQUITETURA E URBANISMO E DESIGN";62
"68";"ARQUITETURA, URBANISMO E DESIGN";"URBANISMO";46
"69";"ARQUITETURA, URBANISMO E DESIGN";"ARQUITETURA";40
"70";"ARQUITETURA, URBANISMO E DESIGN";"DINÂMICA DO ESPAÇO HABITADO";34
"71";"ARQUITETURA, URBANISMO E DESIGN";"DESIGN, TECNOLOGIA E INOVAÇÃO";30
"72";"ARQUITETURA, URBANISMO E DESIGN";"AMBIENTE CONSTRUÍDO";28
"73";"ARQUITETURA, URBANISMO E DESIGN";"CECRE - CONSERVAÇÃO E RESTAURAÇÃO";28
"74";"ARQUITETURA, URBANISMO E DESIGN";"PROJETO E CIDADE";23
"75";"ARQUITETURA, URBANISMO E DESIGN";"PROJETO E PATRIMÔNIO";21
"76";"ARQUITETURA, URBANISMO E DESIGN";"ARQUITETURA PAISAGÍSTICA";10
"77";"ARQUITETURA, URBANISMO E DESIGN";"PROJETO, PRODUÇÃO E GESTÃO DO ESPAÇO URBANO";8
"78";"ARQUITETURA, URBANISMO E DESIGN";"ARQUITETURA, TECNOLOGIA E CIDADE";7
"79";"ARQUITETURA, URBANISMO E DESIGN";"CIÊNCIAS DA CIDADE";7
"80";"ARQUITETURA, URBANISMO E DESIGN";"URBANISMO, HISTÓRIA E ARQUITETURA DA CIDADE";6
"81";"ARQUITETURA, URBANISMO E DESIGN";"DESIGN DE ARTEFATOS DIGITAIS";5
"82";"ARTES / MÚSICA";"MÚSICA";242
"83";"ARTES / MÚSICA";"ARTES";234
"84";"ARTES / MÚSICA";"ARTES CÊNICAS";135
"85";"ARTES / MÚSICA";"ARTES VISUAIS";124
"86";"ARTES / MÚSICA";"PROFARTES";62
"87";"ARTES / MÚSICA";"ARTES DA CENA";40
"88";"ARTES / MÚSICA";"HISTÓRIA DA ARTE";34
"89";"ARTES / MÚSICA";"DANÇA";24
"90";"ARTES / MÚSICA";"ARTES, CULTURA E LINGUAGENS";23
"91";"ARTES / MÚSICA";"TEATRO";21
"92";"ARTES / MÚSICA";"ESTUDOS CONTEMPORANEOS DAS ARTES";19
"93";"ARTES / MÚSICA";"ENSINO DAS PRÁTICAS MUSICAIS";18
"94";"ARTES / MÚSICA";"ENSINO DE ARTES CÊNICAS";17
"95";"ARTES / MÚSICA";"ARTES VISUAIS (UFPB J.P. - UFPE)";15
"96";"ARTES / MÚSICA";"ARTE E CULTURA VISUAL";11
"97";"ARTES / MÚSICA";"PROFISSIONAL EM MÚSICA";3
"98";"ARTES / MÚSICA";"COMPUTAÇÃO, COMUNICAÇÃO E ARTES";2
"99";"ASTRONOMIA / FÍSICA";"FÍSICA";846
"100";"ASTRONOMIA / FÍSICA";"ENSINO DE FÍSICA - PROFIS";255
"101";"ASTRONOMIA / FÍSICA";"ASTRONOMIA";74
"102";"ASTRONOMIA / FÍSICA";"FISICA APLICADA";37
"103";"ASTRONOMIA / FÍSICA";"FÍSICA E ASTRONOMIA";29
"104";"ASTRONOMIA / FÍSICA";"FÍSICA - UFLA - UFSJ - UNIFAL";24
"105";"ASTRONOMIA / FÍSICA";"FÍSICA - UFV";23
"106";"ASTRONOMIA / FÍSICA";"FÍSICA APLICADA";20
"107";"ASTRONOMIA / FÍSICA";"ASTROFÍSICA, COSMOLOGIA E GRAVITAÇÃO";8
"108";"ASTRONOMIA / FÍSICA";"FÍSICA DA MATÉRIA CONDENSADA";6
"109";"ASTRONOMIA / FÍSICA";"ASTROFÍSICA E FÍSICA COMPUTACIONAL";5
"110";"ASTRONOMIA / FÍSICA";"CIÊNCIAS";5
"111";"ASTRONOMIA / FÍSICA";"ASTROFÍSICA";4
"112";"BIODIVERSIDADE";"ECOLOGIA";302
"113";"BIODIVERSIDADE";"BIOLOGIA ANIMAL";198
"114";"BIODIVERSIDADE";"ZOOLOGIA";169
"115";"BIODIVERSIDADE";"BIOLOGIA VEGETAL";151
"116";"BIODIVERSIDADE";"ECOLOGIA E CONSERVAÇÃO";146
"117";"BIODIVERSIDADE";"BIODIVERSIDADE E CONSERVAÇÃO";88
"118";"BIODIVERSIDADE";"BIOLOGIA COMPARADA";85
"119";"BIODIVERSIDADE";"CIÊNCIAS BIOLÓGICAS (BOTÂNICA)";80
"120";"BIODIVERSIDADE";"CIÊNCIAS BIOLÓGICAS";76
"121";"BIODIVERSIDADE";"ECOLOGIA DE BIOMAS TROPICAIS";74
"122";"BIODIVERSIDADE";"DIVERSIDADE ANIMAL";62
"123";"BIODIVERSIDADE";"CIÊNCIAS BIOLÓGICAS (ZOOLOGIA)";57
"124";"BIODIVERSIDADE";"ECOLOGIA E EVOLUÇÃO";54
"125";"BIODIVERSIDADE";"BIODIVERSIDADE VEGETAL";50
"126";"BIODIVERSIDADE";"ECOLOGIA AQUÁTICA E PESCA";50
"127";"BIODIVERSIDADE";"BIOLOGIA MARINHA E AMBIENTES COSTEIROS";49
"128";"BIODIVERSIDADE";"BOTÂNICA";49
"129";"BIODIVERSIDADE";"BIODIVERSIDADE TROPICAL";47
"130";"BIODIVERSIDADE";"CONSERVAÇÃO DA FAUNA";43
"131";"BIODIVERSIDADE";"ENTOMOLOGIA";43
"132";"BIODIVERSIDADE";"SAÚDE HUMANA E MEIO AMBIENTE";43
"133";"BIODIVERSIDADE";"BIOLOGIA DE VERTEBRADOS";41
"134";"BIODIVERSIDADE";"BIODIVERSIDADE AQUÁTICA";40
"135";"BIODIVERSIDADE";"BIOPROSPECÇÃO MOLECULAR";37
"136";"BIODIVERSIDADE";"BIODIVERSIDADE ANIMAL";36
"137";"BIODIVERSIDADE";"BIODIVERSIDADE, ECOLOGIA E CONSERVAÇÃO.";36
"138";"BIODIVERSIDADE";"ECOLOGIA E RECURSOS NATURAIS";32
"139";"BIODIVERSIDADE";"OCEANOGRAFIA";31
"140";"BIODIVERSIDADE";"ECOLOGIA E CONSERVAÇÃO DA BIODIVERSIDADE";29
"141";"BIODIVERSIDADE";"ENTOMOLOGIA E CONSERVAÇÃO DA BIODIVERSIDADE";27
"142";"BIODIVERSIDADE";"GENÉTICA, BIODIVERSIDADE E CONSERVAÇÃO";26
"143";"BIODIVERSIDADE";"BIODIVERSIDADE";24
"144";"BIODIVERSIDADE";"BIODIVERSIDADE E USO DOS RECURSOS NATURAIS";24
"145";"BIODIVERSIDADE";"BIODIVERSIDADE E BIOLOGIA EVOLUTIVA";23
"146";"BIODIVERSIDADE";"BIOLOGIA GERAL";23
"147";"BIODIVERSIDADE";"OCEANOGRAFIA BIOLÓGICA";23
"148";"BIODIVERSIDADE";"CIÊNCIAS BIOLÓGICAS (BIODIVERSIDADE NEOTROPICAL)";22
"149";"BIODIVERSIDADE";"BIOLOGIA";21
