"";"CODIGO";"NOME";"ANOMES";"BN";"QUANTIDADE";"VALOR";"REVISAO"
"1";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"201601";3057;141270;1646601;2648,26
"2";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"201602";3405;122644;1635298,22;4685,55
"3";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"201603";4153;152079;2171864,2;2974,72
"4";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"201604";3937;167953;2426362,64;0
"5";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"201605";4087;158549;2190296,05;0
"6";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"201606";3724;156325;2228480,33;-38507,47
"7";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"201607";3881;163415;2235962,44;0
"8";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"201608";3986;169503;2271272,42;-1500,34
"9";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"201609";4268;144111;2060380,85;-14202,53
"10";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"201610";3926;152127;2082999,51;71345,21
"11";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"201611";3957;151159;2033178,87;0
"12";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"201612";3541;183295;2076224,46;0
"13";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"201701";3197;174020;2078943,81;6126,01
"14";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"201702";3100;154257;1832962,34;24600,11
"15";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"201703";4531;160653;2257102,57;329139,66
"16";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"201704";3898;158775;1939260,27;456,63
"17";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"201705";4052;252245;2894619,05;0
"18";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"201706";4095;196783;2671688,69;4308,47
"19";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"201707";3550;176798;2339871,44;0
"20";594073;"CENTRO MEDICO HOSPITALAR  AGENOR PAIVA";"201708";5184;203446;2869787,18;0
