"";"CODIGO";"NOME";"ESPECIALIDADE";"C_201601_BN";"C_201601_QUANTIDADE";"C_201601_REVISAO";"C_201601_VALOR";"C_201602_BN";"C_201602_QUANTIDADE";"C_201602_REVISAO";"C_201602_VALOR";"C_201603_BN";"C_201603_QUANTIDADE";"C_201603_REVISAO";"C_201603_VALOR";"C_201604_BN";"C_201604_QUANTIDADE";"C_201604_REVISAO";"C_201604_VALOR";"C_201605_BN";"C_201605_QUANTIDADE";"C_201605_REVISAO";"C_201605_VALOR";"C_201606_BN";"C_201606_QUANTIDADE";"C_201606_REVISAO";"C_201606_VALOR";"C_201607_BN";"C_201607_QUANTIDADE";"C_201607_REVISAO";"C_201607_VALOR";"C_201608_BN";"C_201608_QUANTIDADE";"C_201608_REVISAO";"C_201608_VALOR";"C_201609_BN";"C_201609_QUANTIDADE";"C_201609_REVISAO";"C_201609_VALOR";"C_201610_BN";"C_201610_QUANTIDADE";"C_201610_REVISAO";"C_201610_VALOR";"C_201611_BN";"C_201611_QUANTIDADE";"C_201611_REVISAO";"C_201611_VALOR";"C_201612_BN";"C_201612_QUANTIDADE";"C_201612_REVISAO";"C_201612_VALOR";"C_201701_BN";"C_201701_QUANTIDADE";"C_201701_REVISAO";"C_201701_VALOR";"C_201702_BN";"C_201702_QUANTIDADE";"C_201702_REVISAO";"C_201702_VALOR";"C_201703_BN";"C_201703_QUANTIDADE";"C_201703_REVISAO";"C_201703_VALOR";"C_201704_BN";"C_201704_QUANTIDADE";"C_201704_REVISAO";"C_201704_VALOR";"C_201705_BN";"C_201705_QUANTIDADE";"C_201705_REVISAO";"C_201705_VALOR";"C_201706_BN";"C_201706_QUANTIDADE";"C_201706_REVISAO";"C_201706_VALOR";"C_201707_BN";"C_201707_QUANTIDADE";"C_201707_REVISAO";"C_201707_VALOR";"C_201708_BN";"C_201708_QUANTIDADE";"C_201708_REVISAO";"C_201708_VALOR";"C_TOTAL_2017_BN";"C_TOTAL_2017_QUANTIDADE";"C_TOTAL_2017_REVISAO";"C_TOTAL_2017_VALOR";"MAIORES_ESP"
"1";594231;"HOSPITAL EMEC";"Outros";1306;44337;1611,54;540445,5;1389;33990;4212,24;449515,5;1682;67895;39605,92;526625;1380;71892;1884,03;461412;1229;48007;0;423478;1398;45870;-84,5;457425;1223;44211;13073,53;530529;1382;35990;0;390336,5;1351;63423;67,63;533198;1344;45934;30257,64;545035,5;1117;44687;0;498340,5;1241;41744;0;553910;1244;54267;26072,96;556860;971;64115;16522,31;391896,5;1456;74349;0;571239,5;1323;34393;149824,73;479044,5;1324;47528;0;532803;1314;61021;0;575970;1883;61215;51303,82;700999;1818;71939;0;625519;11333;468827;243723,82;4434331,5;"X"
"2";594231;"HOSPITAL EMEC";"Sem procedimento na especialidade";196;38751;0;560047,09;197;29649;0;379688,65;313;62654;0;536607,2;220;67490;0;470810,17;195;43744;0;589480,3;215;41485;0;471780,98;215;38069;0;710213,2;221;31548;0;243753,21;255;57851;0;611871,79;204;40721;0;618744,8;157;39137;0;641097,97;194;35678;0;572870,08;153;48209;0;632914,83;150;60179;0;411574,23;179;65029;0;468711,21;148;29729;0;406692,76;175;42187;0;569722,17;165;55448;0;691902,56;178;54932;0;608403,71;184;65822;0;580001,4;1332;421535;0;4369922,87;"X"
"3";594231;"HOSPITAL EMEC";"CONSULTAS";1675;2993;0;225785;1888;3019;65;222564;2495;3900;0;289550;2141;3303;65;253349,96;2078;3314;0;254562,28;2055;3284;0;246695,96;2176;3683;0;276575,32;2587;3585;0;264334,64;2489;4052;65;308157;2431;3909;1872;295398,64;2413;3785;0;284615,96;2411;3982;0;301655;2256;3839;2795;285089,96;2612;3989;2327;286052,76;3146;4697;0;342657;2805;3975;13676;287742,32;3068;4776;0;355537,28;2603;4295;0;311118,32;2484;4157;0;308293,64;3167;4791;0;345821,68;22141;34519;18798;2522312,96;"X"
"4";594231;"HOSPITAL EMEC";"GINECOLOGIA E OBSTETRÍCIA";253;307;0;127630,11;205;257;0;107726,57;294;345;0;131454,01;286;345;0;135447;256;307;0;116227,81;204;269;0;148430,83;265;312;0;115392,36;325;407;0;180287,63;306;351;4438,14;115365,94;294;370;0;164354,5;276;333;0;132918,02;231;296;0;149919,52;249;299;46,8;130025,55;257;326;0;151918,93;340;403;0;159260,31;261;345;849,51;178536,53;279;375;0;203711,78;277;353;0;157388,89;318;371;0;135689,57;299;369;0;158806,98;2280;2841;896,31;1275338,54;"X"
"5";594231;"HOSPITAL EMEC";"ULTRA-SONOGRAFIA";202;702;0;107625,12;190;553;0;82701,26;316;968;0;149149,13;216;631;0;96266,05;171;490;0;74365,46;267;768;0;117916,36;251;738;0;115116,05;249;694;0;106597,62;275;816;990,42;127031,89;222;634;0;98356,22;254;795;0;126533,45;260;749;0;116875,59;281;852;0;134619,54;260;747;48,4;117446,55;292;853;0;133760,96;211;603;848,06;95004,28;288;777;0;119438,84;230;628;0;94496,89;259;735;0;115827,85;253;708;0;111190,34;2074;5903;896,46;921785,25;"X"
"6";594231;"HOSPITAL EMEC";"CIRURGIA  APARELHO DIGESTIVO (INCLUINDO PROCTOLOGIA), ANEXOS E PAREDE ABDOMINAL";108;204;0;129226,15;107;190;0;85680,23;114;187;2863,69;151062,67;84;141;0;75494,59;101;216;0;138277,25;103;159;0;104812,5;124;176;7578,16;97518,61;93;142;0;82553,16;94;161;0;77343,61;102;205;260;109211,26;89;189;0;97008,91;78;187;0;103562,8;78;163;104;78958,97;99;180;2202,89;85024,89;107;184;0;136476,79;107;202;1235;119912,42;100;210;0;103057,15;96;188;0;85916,39;90;160;0;90586,59;109;192;0;101673,76;786;1479;3541,89;801606,96;"X"
"7";594231;"HOSPITAL EMEC";"ORTOPEDIA E TRAUMATOLOGIA";28;99;0;81641,65;14;26;0;87016,15;16;33;0;63691,92;12;27;0;66836,66;22;48;0;116166,35;22;50;0;103797,97;22;53;0;69427,94;12;31;0;49549,14;24;51;0;153369,16;20;50;1170;84165,87;17;37;0;80275,86;16;37;0;95385,66;8;16;0;31244,37;12;26;0;79809,29;18;39;0;85022,71;15;39;84,5;55136,27;15;36;0;155545,15;11;26;0;39562,78;23;54;0;105013,18;19;44;0;47727,48;121;280;84,5;599061,23;"X"
"8";594231;"HOSPITAL EMEC";"UROLOGIA";8;17;0;37038,62;9;17;117;34583,1;13;23;0;28530,56;13;27;117;16927,03;7;12;0;27963,16;13;23;0;21482,66;13;27;0;28152,81;17;26;0;60352,69;14;29;0;48384,14;10;18;0;30147,78;15;30;0;35796,31;11;23;0;41256,94;15;33;0;47890,57;14;31;0;60142,72;25;54;0;97849,87;20;41;0;49654,97;12;22;0;45811,37;13;27;0;72944,74;18;29;0;26503,18;12;35;0;50607,92;129;272;0;451405,34;""
"9";594231;"HOSPITAL EMEC";"TOMOGRAFIA COMPUTADORIZADA";205;291;0;62466,67;184;226;253,35;49229,85;274;329;0;70234,37;216;267;253,35;57062,76;188;231;0;49026,89;186;236;0;50433,16;173;228;187,8;48457,47;226;275;0;58565,26;180;220;0;47683,36;181;224;0;47695,21;176;233;0;49872,82;188;225;0;47920,32;175;229;528,29;48722,68;119;143;0;31051,63;215;252;0;54641,62;189;222;2382,18;48820,48;193;262;0;57024,3;165;212;0;45819,31;266;350;0;76155,72;235;293;0;63657,06;1557;1963;2910,47;425892,8;""
"10";594231;"HOSPITAL EMEC";"NEUROCIRURGIA";4;12;0;45445,08;2;8;0;29589,05;5;22;0;90139,7;6;17;0;83632,36;4;12;0;38231,47;4;10;0;56649,46;3;8;0;23879,48;4;9;0;54986,78;2;7;0;33073,86;1;4;0;8232,02;3;6;0;44002,58;4;21;0;58380,58;5;12;0;64032,39;2;7;0;39777,31;4;9;0;49594,75;5;13;0;75602,97;1;1;0;52;6;23;0;112087,34;1;2;0;2779,74;2;4;0;28331,87;26;71;0;372258,37;""
