"";"CODIGO";"NOME";"ANOMES";"BN";"QUANTIDADE";"VALOR";"REVISAO"
"1";594259;"COOPANEST";"201601";5725;8361;1897597,12;147
"2";594259;"COOPANEST";"201602";5404;7633;1772168,66;-740,96
"3";594259;"COOPANEST";"201603";6078;9071;2359753,35;-2568,39
"4";594259;"COOPANEST";"201604";5943;8188;1998921,99;-2028,14
"5";594259;"COOPANEST";"201605";5684;7615;2007879,65;0
"6";594259;"COOPANEST";"201606";7915;10942;2418544;-1728,12
"7";594259;"COOPANEST";"201607";8381;11947;2622482,08;-131,6
"8";594259;"COOPANEST";"201608";9500;13949;3413693,89;0
"9";594259;"COOPANEST";"201609";7151;9948;2540786,45;1568,6
"10";594259;"COOPANEST";"201610";7202;10289;2486946,18;-626,07
"11";594259;"COOPANEST";"201611";6973;9828;2344180,55;0
"12";594259;"COOPANEST";"201612";6394;8865;2258113,78;-272,88
"13";594259;"COOPANEST";"201701";7804;11232;2488484,43;464,05
"14";594259;"COOPANEST";"201702";6803;9602;2223055,42;1217,47
"15";594259;"COOPANEST";"201703";7206;10143;2516776,42;0
"16";594259;"COOPANEST";"201704";7340;10454;2437622,77;0
"17";594259;"COOPANEST";"201705";7328;10916;2676207,39;-141,77
"18";594259;"COOPANEST";"201706";7904;11543;2672600,43;0
"19";594259;"COOPANEST";"201707";6863;10122;2345237,35;0
"20";594259;"COOPANEST";"201708";6391;9367;2223653,37;-540,33
