"";"ANOMES";"NUM_INSC_FISCAL";"NOME_PRESTADOR";"VALOR_COTA";"VALOR_APROVADO";"VAL_PAGO"
"1";"201601";13792965000106;"COOPANEST";NA;1897597,12;1897597,12
"2";"201602";13792965000106;"COOPANEST";NA;1772168,66;1772168,66
"3";"201603";13792965000106;"COOPANEST";NA;2359753,35;2359753,35
"4";"201604";13792965000106;"COOPANEST";NA;1998921,99;1998921,99
"5";"201605";13792965000106;"COOPANEST";NA;2007879,65;2007879,65
"6";"201606";13792965000106;"COOPANEST";NA;2418544;2418544
"7";"201607";13792965000106;"COOPANEST";NA;2622482,08;2622482,08
"8";"201608";13792965000106;"COOPANEST";NA;3413693,89;3413693,89
"9";"201609";13792965000106;"COOPANEST";NA;2540786,45;2540786,45
"10";"201610";13792965000106;"COOPANEST";NA;2486946,18;2486946,18
"11";"201611";13792965000106;"COOPANEST";NA;2344180,55;2344180,55
"12";"201612";13792965000106;"COOPANEST";NA;2258113,78;2258113,78
"13";"201701";13792965000106;"COOPANEST";NA;2488484,43;2488484,43
"14";"201702";13792965000106;"COOPANEST";NA;2223055,42;2223055,42
"15";"201703";13792965000106;"COOPANEST";NA;2516776,42;2516776,42
"16";"201704";13792965000106;"COOPANEST";NA;2437622,77;2437622,77
"17";"201705";13792965000106;"COOPANEST";NA;2676207,39;2676207,39
"18";"201706";13792965000106;"COOPANEST";NA;2672600,43;2672600,43
"19";"201707";13792965000106;"COOPANEST";2654863,89;2345237,35;2345237,35
"20";"201708";13792965000106;"COOPANEST";2654863,89;2223653,37;2223653,37
