"";"CODIGO";"NOME";"ITEM_MEDICO";"ITEM";"C_201601_BN";"C_201601_QUANTIDADE";"C_201601_REVISAO";"C_201601_VALOR";"C_201602_BN";"C_201602_QUANTIDADE";"C_201602_REVISAO";"C_201602_VALOR";"C_201603_BN";"C_201603_QUANTIDADE";"C_201603_REVISAO";"C_201603_VALOR";"C_201604_BN";"C_201604_QUANTIDADE";"C_201604_REVISAO";"C_201604_VALOR";"C_201605_BN";"C_201605_QUANTIDADE";"C_201605_REVISAO";"C_201605_VALOR";"C_201606_BN";"C_201606_QUANTIDADE";"C_201606_REVISAO";"C_201606_VALOR";"C_201607_BN";"C_201607_QUANTIDADE";"C_201607_REVISAO";"C_201607_VALOR";"C_201608_BN";"C_201608_QUANTIDADE";"C_201608_REVISAO";"C_201608_VALOR";"C_201609_BN";"C_201609_QUANTIDADE";"C_201609_REVISAO";"C_201609_VALOR";"C_201610_BN";"C_201610_QUANTIDADE";"C_201610_REVISAO";"C_201610_VALOR";"C_201611_BN";"C_201611_QUANTIDADE";"C_201611_REVISAO";"C_201611_VALOR";"C_201612_BN";"C_201612_QUANTIDADE";"C_201612_REVISAO";"C_201612_VALOR";"C_201701_BN";"C_201701_QUANTIDADE";"C_201701_REVISAO";"C_201701_VALOR";"C_201702_BN";"C_201702_QUANTIDADE";"C_201702_REVISAO";"C_201702_VALOR";"C_201703_BN";"C_201703_QUANTIDADE";"C_201703_REVISAO";"C_201703_VALOR";"C_201704_BN";"C_201704_QUANTIDADE";"C_201704_REVISAO";"C_201704_VALOR";"C_201705_BN";"C_201705_QUANTIDADE";"C_201705_REVISAO";"C_201705_VALOR";"C_201706_BN";"C_201706_QUANTIDADE";"C_201706_REVISAO";"C_201706_VALOR";"C_201707_BN";"C_201707_QUANTIDADE";"C_201707_REVISAO";"C_201707_VALOR";"C_201708_BN";"C_201708_QUANTIDADE";"C_201708_REVISAO";"C_201708_VALOR";"C_TOTAL_2017_BN";"C_TOTAL_2017_QUANTIDADE";"C_TOTAL_2017_REVISAO";"C_TOTAL_2017_VALOR";"MAIORES_ITS"
"1";594259;"COOPANEST";85006048;"Facectomia Com Implante De Lio ( C/ Ou S/ Facoemulsificação ) - Anestesiologia";332;362;0;189209,27;300;321;0;172527,25;558;641;-513,31;345757,13;336;361;513,31;195005,09;383;427;0;230450,75;464;527;0;284753,91;524;625;0;337436,09;768;916;0;493861,64;616;699;0;377420,51;517;583;0;315012,39;615;705;0;380932,65;457;495;0;266923,03;439;502;0;270975,5;497;580;0;313121,24;467;529;0;285564,41;581;667;0;360400,11;503;565;0;305286,45;558;622;0;335004,62;548;637;0;343379,73;463;523;0;282322,43;4056;4625;0;2496054,49;"X"
"2";594259;"COOPANEST";11600;"NEOSAC - 300 mg cx. 5 envs. al. x 4 cprs.";3365;3385;0;220025;3108;3113;0;202345;2688;2690;0;174850;3218;3229;0;209885;2517;2531;0;164515;5335;5399;0;350935;5546;5635;0;366275;5675;5715;0;371475;3767;3784;0;245960;4153;4185;0;272025;3902;3918;0;254670;3305;3321;0;215865;5019;5064;0;329160;4279;4285;65;278525;3712;3722;0;241930;4349;4373;0;284245;4249;4262;-65;277030;4858;4874;0;316810;4190;4206;0;273390;3755;3763;0;244595;34411;34549;0;2245685;"X"
"3";594259;"COOPANEST";82301038;"Endoscopia Digestiva Alta Com Ou Sem Biópsia E Citologia - Adulto (Honorários De Anestesiologia)";437;441;0;68119,39;362;365;0;58092,02;658;665;0;106444,8;594;596;0;95260,59;635;643;0;102981,59;616;620;0;99442,14;815;822;0;131546,14;882;888;0;142380,97;570;571;0;91496,4;697;699;0;111962,7;744;745;0;119426,34;539;539;0;86279,5;689;697;0;111561,4;524;527;0;84513,78;645;648;0;103776,18;638;642;0;102893,32;797;801;0;128175,22;756;763;0;122155,72;682;689;0;110357,5;639;641;0;102572,28;5370;5408;0;866005,4;"X"
"4";594259;"COOPANEST";84508198;"Parto Cesarea Feto Único Ou Múltiplo- Hm Anestesista";179;179;0;93503,69;171;171;0;91666,89;207;207;0;111686,19;198;198;0;106931,3;159;159;0;85912,47;251;250;0;135082,5;188;188;0;101582,04;317;317;0;171284,61;174;174;0;94017,42;173;173;0;93477,09;143;143;0;77267,19;119;119;0;64299,27;194;194;0;104824,02;135;135;0;72944,55;219;219;0;118332,27;167;167;0;90235,11;232;232;0;125356,56;259;259;0;139945,47;192;192;0;103743,36;126;126;0;68081,58;1524;1524;0;823462,92;"X"
"5";594259;"COOPANEST";84305188;"Colecistectomia Sem Colangiografia Por Videolaparoscopia - Hm Anestesiologia";139;139;0;72809,17;104;104;0;56032,2;145;145;0;78293,81;135;135;0;72944,55;136;136;0;73484,88;184;184;0;99420,72;146;146;0;78888,18;203;204;0;110227,32;174;175;0;94557,75;182;182;0;98340,06;138;138;0;74565,54;140;140;0;75646,2;153;153;0;82670,49;128;128;0;69162,24;160;160;0;86452,8;128;128;0;69162,24;195;195;0;105364,35;158;158;0;85372,14;109;109;0;58895,97;122;122;0;65920,26;1153;1153;0;623000,49;"X"
"6";594259;"COOPANEST";84008098;"Cateterismo Cardíaco Com Ou Sem Ventriculografia - Anestesiologista";108;109;0;36563,36;91;93;0;32449,98;129;129;0;45007,32;94;95;0;33166,04;120;120;0;41741,35;112;113;0;39471,47;165;170;0;59382,7;177;179;0;62526,49;139;141;0;48728,76;145;148;0;51348,58;118;118;0;41043,93;139;140;0;48903,4;165;165;0;57531,36;126;127;0;43838,42;201;203;0;70560,63;127;129;0;45060,99;156;157;0;54841,67;133;134;0;46632,89;120;121;0;41917,21;152;152;0;53095,12;1180;1188;0;413478,29;"X"
"7";594259;"COOPANEST";82302908;"Endoscopia E Colonoscopia Com Polipectomia De Cólon- Hospitalar (Honorários De Anestesiologia)";96;96;0;32038,26;48;48;0;16611,75;85;85;0;29615,27;107;107;0;37284,91;108;108;0;37650,96;125;125;0;43484,32;124;127;0;43926,12;146;146;0;50898,52;98;98;0;33816,14;120;120;0;41834,4;131;131;0;45663,28;136;136;0;47412,32;142;142;0;49504,04;104;104;0;36256,48;150;151;0;52641,62;124;124;0;43228,58;158;158;0;55006,21;169;170;0;59265,4;157;157;0;54733,34;145;145;0;50549,9;1149;1151;0;401185,57;"X"
"8";594259;"COOPANEST";82302098;"Colonoscopia Com Polipectomia (Independente Do Número De Pólipos) Hospitalar (Honorários De Anestesiologia)";172;172;0;38981,6;99;99;0;23152,55;163;164;0;38685,95;170;170;0;40150,69;176;176;0;41580;176;176;0;41414,63;198;198;0;46777,5;193;193;0;45596,25;135;136;0;32130;154;154;0;36382,5;170;171;0;40398,75;175;175;0;41343,75;199;199;0;47013,75;164;164;0;38745;178;179;0;42288,75;172;172;0;40635;194;194;0;45832,51;204;206;0;48549,38;148;149;0;35201,25;151;151;0;35673,76;1410;1414;0;333939,4;"X"
"9";594259;"COOPANEST";85604478;"Ureterorrenolitotripsia Transureteroscópica (Anestesista)";49;50;0;40139,44;46;46;0;38460,08;68;70;0;58655,83;53;53;0;44506,22;41;41;0;34303,37;51;52;0;43666,48;58;59;0;49544,66;56;58;0;48704,92;38;38;0;31910,12;58;58;0;48704,92;38;40;0;33589,6;49;49;0;41147,26;51;51;0;42826,74;35;36;0;30230,64;61;62;0;52063,88;57;58;0;48704,92;54;55;0;46185,7;53;54;0;45345,96;28;29;0;24352,46;45;45;0;37788,3;384;390;0;327498,6;"X"
"10";594259;"COOPANEST";84303121;"Gastroplastia Para  Obesidade Mórbida Por Videolaparoscopia  Hm De Anestesiologia Exluso";27;27;0;24517,9;28;29;0;31109,75;21;21;0;22527,75;45;44;0;47201;48;48;0;51492;14;14;0;15018,5;49;48;0;51492;63;63;0;67583,25;43;43;0;46128,25;41;41;0;43982,75;37;37;0;39691,75;57;57;0;61146,75;27;27;0;28964,25;34;34;0;36473,5;36;36;0;38619;37;37;0;39691,75;50;50;0;53637,5;48;48;0;51492;35;35;0;37546,25;18;18;0;19309,5;285;285;0;305733,75;"X"
