"";"CODIGO";"NOME";"TRATAMENTO";"C_201601_BN";"C_201601_QUANTIDADE";"C_201601_REVISAO";"C_201601_VALOR";"C_201602_BN";"C_201602_QUANTIDADE";"C_201602_REVISAO";"C_201602_VALOR";"C_201603_BN";"C_201603_QUANTIDADE";"C_201603_REVISAO";"C_201603_VALOR";"C_201604_BN";"C_201604_QUANTIDADE";"C_201604_REVISAO";"C_201604_VALOR";"C_201605_BN";"C_201605_QUANTIDADE";"C_201605_REVISAO";"C_201605_VALOR";"C_201606_BN";"C_201606_QUANTIDADE";"C_201606_REVISAO";"C_201606_VALOR";"C_201607_BN";"C_201607_QUANTIDADE";"C_201607_REVISAO";"C_201607_VALOR";"C_201608_BN";"C_201608_QUANTIDADE";"C_201608_REVISAO";"C_201608_VALOR";"C_201609_BN";"C_201609_QUANTIDADE";"C_201609_REVISAO";"C_201609_VALOR";"C_201610_BN";"C_201610_QUANTIDADE";"C_201610_REVISAO";"C_201610_VALOR";"C_201611_BN";"C_201611_QUANTIDADE";"C_201611_REVISAO";"C_201611_VALOR";"C_201612_BN";"C_201612_QUANTIDADE";"C_201612_REVISAO";"C_201612_VALOR";"C_201701_BN";"C_201701_QUANTIDADE";"C_201701_REVISAO";"C_201701_VALOR";"C_201702_BN";"C_201702_QUANTIDADE";"C_201702_REVISAO";"C_201702_VALOR";"C_201703_BN";"C_201703_QUANTIDADE";"C_201703_REVISAO";"C_201703_VALOR";"C_201704_BN";"C_201704_QUANTIDADE";"C_201704_REVISAO";"C_201704_VALOR";"C_201705_BN";"C_201705_QUANTIDADE";"C_201705_REVISAO";"C_201705_VALOR";"C_201706_BN";"C_201706_QUANTIDADE";"C_201706_REVISAO";"C_201706_VALOR";"C_201707_BN";"C_201707_QUANTIDADE";"C_201707_REVISAO";"C_201707_VALOR";"C_201708_BN";"C_201708_QUANTIDADE";"C_201708_REVISAO";"C_201708_VALOR";"C_TOTAL_2017_BN";"C_TOTAL_2017_QUANTIDADE";"C_TOTAL_2017_REVISAO";"C_TOTAL_2017_VALOR";"MAIORES_TTM"
"1";594259;"COOPANEST";"INTERNAÇÃO - CIRÚRGICA";1141;1464;0;632800,21;1124;1432;-331,84;606689,88;1386;1731;-1894,56;739169,53;1243;1539;-1400,43;706175,57;1221;1535;0;684161,58;1404;1657;-1567,6;775204,96;1314;1611;-131,6;744916,07;1914;2421;0;1071709,48;1572;1986;0;891334,55;1404;1772;-626,07;788635,23;1207;1515;0;674986,29;1253;1613;0;738613,66;1272;1580;464,05;716453,07;1266;1560;582,17;701076,02;1385;1760;0;789202,32;1228;1540;0;687321,08;1521;1941;0;897348,88;1316;1725;0;747503,54;1192;1588;0;706299,52;1075;1413;0;614997,12;10255;13107;1046,22;5860201,55;"X"
"2";594259;"COOPANEST";"HOSPITAL DIA";1279;1422;0;464297,4;1030;1148;0;394616,87;1735;1978;-673,83;699423,01;1426;1562;-353,47;508396,65;1477;1660;0;573544,58;1588;1812;-160,52;644036,07;1693;1970;0;708289,87;2293;2661;0;1003684,96;1790;2036;80,26;760921,59;1800;2039;0;722893,25;1878;2194;0;814462,57;1675;1902;-272,88;669303,28;1671;1906;0;668670,93;1700;1956;0;712487,13;1749;2024;0;700915,89;1924;2215;0;793593,45;1772;2030;0;714123,54;1993;2291;0;795469,13;1748;2057;0;736721,9;1494;1705;0;595550,81;14051;16184;0;5717532,78;"X"
"3";594259;"COOPANEST";"INTERNAÇÃO - CLÍNICA";573;818;0;281039,7;585;788;104,19;288335,98;639;886;0;343045,35;497;663;-274,24;246850,48;500;712;0;278941,31;569;767;0;314276,74;707;979;0;370779,37;740;1021;0;396579,46;560;773;331,84;296969,61;660;898;0;344557,26;529;689;0;248162,31;595;807;0;312948,91;739;1046;0;372383,1;491;669;570,3;244389,53;774;1071;0;390626,38;578;805;0;301145,44;652;918;0;336597,05;696;960;0;369919,25;540;787;0;264543,03;641;856;-540,33;327960,71;5111;7112;29,97;2607564,49;"X"
"4";594259;"COOPANEST";"CONSULTA";3363;3383;0;219895;3107;3112;0;202280;2688;2690;0;174850;3217;3229;0;209885;2516;2530;0;164450;5335;5399;0;350935;5546;5635;0;366275;5674;5714;0;371410;3767;3784;0;245960;4152;4184;0;271960;3902;3918;0;254670;3302;3318;0;215670;5014;5059;0;328835;4277;4283;65;278395;3712;3721;0;241865;4347;4371;0;284115;4248;4261;-65;276965;4858;4874;0;316810;4190;4206;0;273390;3755;3763;0;244595;34401;34538;0;2244970;"X"
"5";594259;"COOPANEST";"TERCEIRIZADO AMBULATORIO";667;720;0;120732,56;459;491;0;84589,93;847;946;0;158196,48;533;579;0;98196,53;813;909;0;149245,94;848;960;0;158558,28;1221;1371;0;230786,34;1438;1588;0;277736,58;958;1069;0;182174,5;969;1069;0;177745,13;1118;1254;0;215838,35;838;934;0;162415,35;1148;1279;0;227243,51;792;881;0;150555,08;1015;1159;0;196353,88;1089;1215;0;213315,67;1197;1360;-76,77;233100,9;1148;1284;0;218179,64;1000;1144;0;186094,08;956;1073;0;185171,18;8345;9395;-76,77;1610013,94;""
"6";594259;"COOPANEST";"TERCEIRIZADO INTERNADO";292;317;-112,23;152219,14;286;307;-513,31;148255,39;315;327;0;169833,79;211;221;0;120534,32;258;266;0;156978,95;334;341;0;174569,83;352;375;0;200320,84;498;536;0;291213,51;286;297;0;162868,9;314;322;0;180276,97;247;257;0;135900,51;256;291;0;159162,58;343;359;0;174265,78;240;250;0;135595,36;374;403;0;196858,87;280;304;0;157490,05;386;404;0;217750,98;394;403;0;223604,27;322;336;0;177546,74;483;555;0;254981,77;2822;3014;0;1538093,82;""
"7";594259;"COOPANEST";"AMBULATORIAL";91;237;0;26613,11;104;355;0;47400,61;118;513;0;75235,19;216;254;0;41190,91;3;3;0;557,29;6;6;0;963,12;6;6;0;1114,59;9;8;0;1359,9;8;3;1156,5;557,3;7;5;0;878,34;2;1;0;160,52;1;0;0;0;3;3;0;633,04;3;3;0;557,3;6;5;0;954,08;4;4;0;642,08;3;2;0;321,04;7;6;0;1114,6;4;4;0;642,08;2;2;0;396,78;32;29;0;5261;""
"8";594259;"COOPANEST";"INTERNAÇÃO -  PEDIATRICA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14;19;0;4529;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;""
"9";594259;"COOPANEST";"INTERNAÇÃO - BARIÁTRICA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13;13;0;13945,75;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;""
"10";594259;"COOPANEST";"INTERNAÇÃO - OBSTÉTRICA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;92;92;0;45883,1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;""
