"";"ANOMES";"NUM_INSC_FISCAL";"NOME_PRESTADOR";"VALOR_COTA";"VALOR_APROVADO";"VAL_PAGO"
"1";"201601";5469172000122;"HBA - HOSPITAL DA BAHIA";3792745,06;7989859,94;7952807,85
"2";"201602";5469172000122;"HBA - HOSPITAL DA BAHIA";3792745,06;7585823,88;7552666,59
"3";"201603";5469172000122;"HBA - HOSPITAL DA BAHIA";3792745,06;9601412,33;9557358,21
"4";"201604";5469172000122;"HBA - HOSPITAL DA BAHIA";3792745,06;8430592,14;8399596,08
"5";"201605";5469172000122;"HBA - HOSPITAL DA BAHIA";3792745,06;9976830,16;9934410,27
"6";"201606";5469172000122;"HBA - HOSPITAL DA BAHIA";3792745,06;9786800,75;9746262,34
"7";"201607";5469172000122;"HBA - HOSPITAL DA BAHIA";3792745,06;10551390,55;10506099,01
"8";"201608";5469172000122;"HBA - HOSPITAL DA BAHIA";3792745,06;10213672,11;10169448,88
"9";"201609";5469172000122;"HBA - HOSPITAL DA BAHIA";3792745,06;8812064,56;8767670,07
"10";"201610";5469172000122;"HBA - HOSPITAL DA BAHIA";3792745,06;9419681,29;9379190,94
"11";"201611";5469172000122;"HBA - HOSPITAL DA BAHIA";3792745,06;7985269,23;7950578,31
"12";"201612";5469172000122;"HBA - HOSPITAL DA BAHIA";3792745,06;8740181,79;8711580,57
"13";"201701";5469172000122;"HBA - HOSPITAL DA BAHIA";3792745,06;8149460,84;8116232,57
"14";"201702";5469172000122;"HBA - HOSPITAL DA BAHIA";3792745,06;9108348,38;9074581,38
"15";"201703";5469172000122;"HBA - HOSPITAL DA BAHIA";9161647,12;10518345,26;10472380,02
"16";"201704";5469172000122;"HBA - HOSPITAL DA BAHIA";9161647,12;7107493,74;7082907,93
"17";"201705";5469172000122;"HBA - HOSPITAL DA BAHIA";9597166;10250443,28;9869203,95
"18";"201706";5469172000122;"HBA - HOSPITAL DA BAHIA";9161647,12;9558557,82;9503731,78
"19";"201707";5469172000122;"HBA - HOSPITAL DA BAHIA";10500000;8841728,35;8796181,48
"20";"201708";5469172000122;"HBA - HOSPITAL DA BAHIA";10500000;9630224,96;9583870,5
