"";"ANOMES";"NUM_INSC_FISCAL";"NOME_PRESTADOR";"VALOR_COTA";"VALOR_APROVADO";"VAL_PAGO"
"1";"201601";15153745000249;"HOSPITAL SANTA IZABEL";8067672,16;12066690,47;12066690,47
"2";"201602";15153745000249;"HOSPITAL SANTA IZABEL";8067672,16;3954570,84;3954570,84
"3";"201603";15153745000249;"HOSPITAL SANTA IZABEL";8067672,16;6411048,65;6405489,4
"4";"201604";15153745000249;"HOSPITAL SANTA IZABEL";8067672,16;10895642,28;10887348,39
"5";"201605";15153745000249;"HOSPITAL SANTA IZABEL";8067672,16;11277299,28;11269645,76
"6";"201606";15153745000249;"HOSPITAL SANTA IZABEL";8067672,16;9770379,95;9765090,62
"7";"201607";15153745000249;"HOSPITAL SANTA IZABEL";8067672,16;13146606,3;13145368,12
"8";"201608";15153745000249;"HOSPITAL SANTA IZABEL";8067672,16;13375117,92;13375117,92
"9";"201609";15153745000249;"HOSPITAL SANTA IZABEL";8067672,16;10382240,72;10382240,72
"10";"201610";15153745000249;"HOSPITAL SANTA IZABEL";8067672,16;11495756,06;11495756,06
"11";"201611";15153745000249;"HOSPITAL SANTA IZABEL";8067672,16;12728894,21;12728894,21
"12";"201612";15153745000249;"HOSPITAL SANTA IZABEL";8067672,16;11629799,48;11629799,48
"13";"201701";15153745000249;"HOSPITAL SANTA IZABEL";8067672,16;13924316,71;13923940
"14";"201702";15153745000249;"HOSPITAL SANTA IZABEL";8067672,16;9746112,72;9746112,72
"15";"201703";15153745000249;"HOSPITAL SANTA IZABEL";10691480,3;13446844,73;13311564,22
"16";"201704";15153745000249;"HOSPITAL SANTA IZABEL";10691480,3;10498472,59;10498472,59
"17";"201705";15153745000249;"HOSPITAL SANTA IZABEL";12520701;15354614,43;13982698,49
"18";"201706";15153745000249;"HOSPITAL SANTA IZABEL";10691480,3;12338473,92;11679676,47
"19";"201707";15153745000249;"HOSPITAL SANTA IZABEL";12000000;13447082,12;12000000
"20";"201708";15153745000249;"HOSPITAL SANTA IZABEL";12000000;12658143,27;12000000
