"";"NUM_INSC_FISCAL";"NOME_PRESTADOR";"COD_ESPECIALIDADE";"NOME_ESPECIALIDADE";"DATA_INI_HAB";"COD_EDITAL"
"1";15153745000249;"HOSPITAL SANTA IZABEL";"1910";"ALERGOLOGIA";2009-01-01 01:00:00;"010/09.1"
"2";15153745000249;"HOSPITAL SANTA IZABEL";"2120";"ANATOMIA PATOLOGICA";2009-05-28 00:00:00;"010/09.1"
"3";15153745000249;"HOSPITAL SANTA IZABEL";"1600";"ANESTESIOLOGIA";2000-11-01 01:00:00;"010/09.1"
"4";15153745000249;"HOSPITAL SANTA IZABEL";"3900";"ANGIOLOGIA/CIR.VASCULAR PERIFERICA";2000-11-01 01:00:00;"010/09.1"
"5";15153745000249;"HOSPITAL SANTA IZABEL";"2010";"CARDIOLOGIA";2000-11-01 01:00:00;"010/09.1"
"6";15153745000249;"HOSPITAL SANTA IZABEL";"4100";"CIRURGIA CABECA E PESCOCO";2009-03-01 00:00:00;"010/09.1"
"7";15153745000249;"HOSPITAL SANTA IZABEL";"4000";"CIRURGIA CARDIOVASCULAR";2000-11-01 01:00:00;"010/09.1"
"8";15153745000249;"HOSPITAL SANTA IZABEL";"4800";"CIRURGIA DA MAO";2008-06-12 00:00:00;"010/09.1"
"9";15153745000249;"HOSPITAL SANTA IZABEL";"4400";"CIRURGIA ENDOCRINOLOGICA";2000-11-01 01:00:00;"010/09.1"
"10";15153745000249;"HOSPITAL SANTA IZABEL";"4300";"CIRURGIA GASTROENTEROLOGICA";2008-06-12 00:00:00;"010/09.1"
"11";15153745000249;"HOSPITAL SANTA IZABEL";"4301";"CIRURGIA GERAL";2000-11-01 01:00:00;"010/09.1"
"12";15153745000249;"HOSPITAL SANTA IZABEL";"5300";"CIRURGIA PEDIATRICA";2000-11-01 01:00:00;"010/09.1"
"13";15153745000249;"HOSPITAL SANTA IZABEL";"5400";"CIRURGIA PLASTICA REPARADORA";2008-06-12 00:00:00;"010/09.1"
"14";15153745000249;"HOSPITAL SANTA IZABEL";"5500";"CIRURGIA TORACICA";2000-11-01 01:00:00;"010/09.1"
"15";15153745000249;"HOSPITAL SANTA IZABEL";"3901";"CIRURGIA VASCULAR";2008-06-12 00:00:00;"010/09.1"
"16";15153745000249;"HOSPITAL SANTA IZABEL";"2121";"CITOPATOLOGIA";2000-11-01 01:00:00;"010/09.1"
"17";15153745000249;"HOSPITAL SANTA IZABEL";"0000";"CONSULTAS";2010-06-01 00:00:00;"010/09.1"
"18";15153745000249;"HOSPITAL SANTA IZABEL";"4200";"DERMATOLOGIA CLIN / CIR";2000-11-01 01:00:00;"010/09.1"
"19";15153745000249;"HOSPITAL SANTA IZABEL";"2201";"ELETROENCEFALOGRAFIA  E NEUROFISIOLOGIA CLÍNICA";2010-06-01 00:00:00;"010/09.1"
"20";15153745000249;"HOSPITAL SANTA IZABEL";"2320";"ENDOSCOPIA DIGESTIVA";2000-11-01 01:00:00;"010/09.1"
"21";15153745000249;"HOSPITAL SANTA IZABEL";"2420";"ENDOSCOPIA PERORAL";2000-11-01 01:00:00;"010/09.1"
"22";15153745000249;"HOSPITAL SANTA IZABEL";"2510";"FISIATRIA  (  FISIOTERAPIA )";2000-11-01 01:00:00;"010/09.1"
"23";15153745000249;"HOSPITAL SANTA IZABEL";"4501";"GINECOLOGIA";2000-11-01 01:00:00;"010/09.1"
"24";15153745000249;"HOSPITAL SANTA IZABEL";"4020";"HEMODINAMICA";2000-11-01 01:00:00;"010/09.1"
"25";15153745000249;"HOSPITAL SANTA IZABEL";"2730";"HEMOTERAPIA";2010-06-01 00:00:00;"010/09.1"
"26";15153745000249;"HOSPITAL SANTA IZABEL";"2820";"LAB ANALISES CLINICAS(PATOLOGIA CLIN)";2000-11-01 01:00:00;"010/09.1"
"27";15153745000249;"HOSPITAL SANTA IZABEL";"4700";"MASTOLOGIA";2000-11-01 01:00:00;"010/09.1"
