"";"CODIGO";"NOME";"ITEM_MEDICO";"ITEM";"C_201601_BN";"C_201601_QUANTIDADE";"C_201601_REVISAO";"C_201601_VALOR";"C_201602_BN";"C_201602_QUANTIDADE";"C_201602_REVISAO";"C_201602_VALOR";"C_201603_BN";"C_201603_QUANTIDADE";"C_201603_REVISAO";"C_201603_VALOR";"C_201604_BN";"C_201604_QUANTIDADE";"C_201604_REVISAO";"C_201604_VALOR";"C_201605_BN";"C_201605_QUANTIDADE";"C_201605_REVISAO";"C_201605_VALOR";"C_201606_BN";"C_201606_QUANTIDADE";"C_201606_REVISAO";"C_201606_VALOR";"C_201607_BN";"C_201607_QUANTIDADE";"C_201607_REVISAO";"C_201607_VALOR";"C_201608_BN";"C_201608_QUANTIDADE";"C_201608_REVISAO";"C_201608_VALOR";"C_201609_BN";"C_201609_QUANTIDADE";"C_201609_REVISAO";"C_201609_VALOR";"C_201610_BN";"C_201610_QUANTIDADE";"C_201610_REVISAO";"C_201610_VALOR";"C_201611_BN";"C_201611_QUANTIDADE";"C_201611_REVISAO";"C_201611_VALOR";"C_201612_BN";"C_201612_QUANTIDADE";"C_201612_REVISAO";"C_201612_VALOR";"C_2017_TOTAL_BN";"C_2017_TOTAL_QUANTIDADE";"C_2017_TOTAL_REVISAO";"C_2017_TOTAL_VALOR";"C_201701_BN";"C_201701_QUANTIDADE";"C_201701_REVISAO";"C_201701_VALOR";"C_201702_BN";"C_201702_QUANTIDADE";"C_201702_REVISAO";"C_201702_VALOR";"C_201703_BN";"C_201703_QUANTIDADE";"C_201703_REVISAO";"C_201703_VALOR";"C_201704_BN";"C_201704_QUANTIDADE";"C_201704_REVISAO";"C_201704_VALOR";"C_201705_BN";"C_201705_QUANTIDADE";"C_201705_REVISAO";"C_201705_VALOR";"C_201706_BN";"C_201706_QUANTIDADE";"C_201706_REVISAO";"C_201706_VALOR";"C_201707_BN";"C_201707_QUANTIDADE";"C_201707_REVISAO";"C_201707_VALOR";"C_201708_BN";"C_201708_QUANTIDADE";"C_201708_REVISAO";"C_201708_VALOR"
"1";594480;"HOSPITAL SANTA IZABEL";72003021;"Emergência Especializada  - Pediatria Tipo 2";1074;1188;1863;368874;75;78;0;24219;358;387;621;120163,5;737;775;621;240637,5;1274;1383;0;429421,5;1675;1860;0;577530;589;608;0;188784;1646;1809;0;561694,5;916;974;0;319253,85;633;675;0;227841,75;1178;1273;0;430210,35;1153;1247;0;421423,65;8900;9713;3324,6;3282508,35;936;1001;1689,75;338287,95;569;604;621;204121,8;1004;1069;0;361268,55;726;765;1013,85;258531,75;1878;2120;0;716454;1276;1390;0;469750,5;1293;1422;0;480564,9;1218;1342;0;453528,9
"2";594480;"HOSPITAL SANTA IZABEL";71001121;"Uco Ou Uie - Unidade Intensiva Especializada";37;83;846;70218;7;23;0;19458;6;16;0;13536;12;33;0;27918;28;97;0;82062;49;185;0;156510;93;363;836;307098;66;364;0;307944;63;292;3384;247032;81;385;0;325710;98;413;0;349398;104;337;0;285102;763;3409;339056;2884014;124;533;173410;450918;72;308;15904;260568;114;443;17766;374778;88;346;81216;292716;97;431;0;364626;72;407;846;344322;93;408;32994;345168;103;533;16920;450918
"3";594480;"HOSPITAL SANTA IZABEL";35030046;"MEGAVOLTAGEM - ACELARADOR LINEAR FÓTONS OU ELETRONS 10 MEV";48;4172;0;260332,8;39;1176;0;73324,8;42;2915;0;181896;64;5380;0;335712;29;2274;0;141897,6;57;5524;0;344697,6;63;5873;0;366475,2;55;4070;4305,6;253968;46;3998;4867,2;249475,2;44;3846;0;239990,4;72;6352;0;396364,8;60;5123;0;319675,2;503;45628;9172,8;2847187,2;73;6277;6926,4;391684,8;59;5486;0;342326,4;63;5099;0;318177,6;51;4032;2246,4;251596,8;72;7626;0;475862,4;60;5191;0;323918,4;58;5982;0;373276,8;67;5935;0;370344
"4";594480;"HOSPITAL SANTA IZABEL";72001031;"Emergência Geral Nível 3 - Alta  Complexidade";1110;1236;1378;425802;153;158;0;54431;273;278;344,5;95771;303;306;0;105417;962;1009;0;347600,5;597;610;0;210145;1114;1174;0;404443;1290;1390;0;478855;780;817;0;281456,5;430;446;0;153647;743;762;0;262509;862;828;0;285246;7054;7304;26182;2516228;1012;1004;23081,5;345878;543;553;344,5;190508,5;888;911;0;313839,5;723;739;2756;254585,5;1270;1350;0;465075;782;816;0;281112;960;1014;0;349323;876;917;0;315906,5
"5";594480;"HOSPITAL SANTA IZABEL";71001011;"Enfermaria Adulto";226;1476;5920;236160;119;524;3056;83840;189;1075;2080;172000;233;1386;0;221760;256;1447;1120;231520;226;1355;8640;216800;287;1862;16512;297920;253;1501;6240;240160;227;1144;6080;183040;248;1545;5120;247200;279;1675;2560;268000;280;1446;0;231360;2144;12644;120064;2023080;344;1683;69990;269920;221;1169;24634;187040;270;1693;1120;270880;217;1215;15520;194352;278;1832;2400;292832;240;1359;480;217440;317;1805;2720;288584;257;1888;3200;302032
"6";594480;"HOSPITAL SANTA IZABEL";7903;"HUMIRA - 40 mg. 0,8 ml sol. inj. ser. + env. c/alcool";27;63;0;225964,62;6;7;0;25107,18;28;70;0;251071,8;27;63;0;225964,62;27;54;0;193683,96;8;10;0;35867,4;28;60;0;215204,4;32;77;0;281473,5;30;67;0;248001,24;25;53;0;196778,4;32;69;0;256183,2;33;60;0;222768;247;480;0;1782144;27;59;0;219055,2;32;61;0;226480,8;27;56;0;207916,8;33;66;0;245044,8;31;64;0;237619,2;27;51;0;189352,8;35;63;0;233906,4;35;60;0;222768
"7";594480;"HOSPITAL SANTA IZABEL";71001111;"Uti  Adulto";98;656;10340;616640;50;260;0;244400;22;96;2820;90240;74;363;4700;341220;60;303;0;284820;58;294;6392;275138;61;314;0;295160;41;154;0;144760;34;159;0;149460;49;213;0;200220;46;247;0;232180;51;199;0;187060;292;1693;118440;1591420;60;262;100580;246280;23;121;0;113740;31;177;0;166380;20;87;17860;81780;48;292;0;274480;33;208;0;195520;43;323;0;303620;34;223;0;209620
"8";594480;"HOSPITAL SANTA IZABEL";19266;"MEROPENEM - GENERICO - 1 g 1 FA c/bolsa";40;881;0;130661,11;20;362;0;53688,22;18;397;0;58879,07;30;673;0;99812,63;34;737;0;109304,47;29;418;0;61993,58;47;1002;0;148581,04;39;902;0;133775,62;37;635;0;97789,13;42;1295;0;220280,69;49;979;0;171024,65;34;777;0;136340,19;331;8901;0;1561586,87;48;978;0;171609,66;25;602;0;105632,94;45;957;0;167653,19;38;1052;0;184594,44;42;1510;0;264959,7;43;1254;0;220039,38;47;1198;0;210213,06;43;1350;0;236884,5
"9";594480;"HOSPITAL SANTA IZABEL";71001041;"Apartamento Adulto";106;591;464;141840;57;248;3584;59520;79;415;3120;99600;100;639;2400;153360;109;677;1800;162480;89;549;2880;131760;115;689;2330;165360;119;737;0;176880;95;660;2640;158400;99;619;1680;148560;114;748;5520;179520;121;609;0;146160;909;5805;87960;1392472;148;749;60600;179640;100;492;8400;117960;115;849;0;203760;88;653;8640;156480;119;940;0;225600;101;641;7200;153712;136;803;3120;192600;102;678;0;162720
"10";594480;"HOSPITAL SANTA IZABEL";72003011;"Emergência Especializada  - Pediatria Tipo 1";1148;1227;0;203068,5;93;94;0;15557;415;430;0;71165;693;706;165,5;116843;1955;2138;0;353839;970;1013;0;167651,5;643;657;0;108733,5;1121;1186;0;196283;991;1049;0;183923,65;881;919;0;165349,28;797;825;0;148592,62;980;1036;0;186614,68;7335;7704;2132,3;1387721,52;762;800;1801,3;144104;647;682;331;122848,66;996;1036;0;186614,68;1142;1217;0;219218,21;982;1042;0;187695,46;1068;1122;0;202105,86;819;858;0;154551,54;919;947;0;170583,11
