"";"CODIGO";"NOME";"TRATAMENTO";"C_201601_BN";"C_201601_QUANTIDADE";"C_201601_REVISAO";"C_201601_VALOR";"C_201602_BN";"C_201602_QUANTIDADE";"C_201602_REVISAO";"C_201602_VALOR";"C_201603_BN";"C_201603_QUANTIDADE";"C_201603_REVISAO";"C_201603_VALOR";"C_201604_BN";"C_201604_QUANTIDADE";"C_201604_REVISAO";"C_201604_VALOR";"C_201605_BN";"C_201605_QUANTIDADE";"C_201605_REVISAO";"C_201605_VALOR";"C_201606_BN";"C_201606_QUANTIDADE";"C_201606_REVISAO";"C_201606_VALOR";"C_201607_BN";"C_201607_QUANTIDADE";"C_201607_REVISAO";"C_201607_VALOR";"C_201608_BN";"C_201608_QUANTIDADE";"C_201608_REVISAO";"C_201608_VALOR";"C_201609_BN";"C_201609_QUANTIDADE";"C_201609_REVISAO";"C_201609_VALOR";"C_201610_BN";"C_201610_QUANTIDADE";"C_201610_REVISAO";"C_201610_VALOR";"C_201611_BN";"C_201611_QUANTIDADE";"C_201611_REVISAO";"C_201611_VALOR";"C_201612_BN";"C_201612_QUANTIDADE";"C_201612_REVISAO";"C_201612_VALOR";"C_201701_BN";"C_201701_QUANTIDADE";"C_201701_REVISAO";"C_201701_VALOR";"C_201702_BN";"C_201702_QUANTIDADE";"C_201702_REVISAO";"C_201702_VALOR";"C_201703_BN";"C_201703_QUANTIDADE";"C_201703_REVISAO";"C_201703_VALOR";"C_201704_BN";"C_201704_QUANTIDADE";"C_201704_REVISAO";"C_201704_VALOR";"C_201705_BN";"C_201705_QUANTIDADE";"C_201705_REVISAO";"C_201705_VALOR";"C_201706_BN";"C_201706_QUANTIDADE";"C_201706_REVISAO";"C_201706_VALOR";"C_201707_BN";"C_201707_QUANTIDADE";"C_201707_REVISAO";"C_201707_VALOR";"C_201708_BN";"C_201708_QUANTIDADE";"C_201708_REVISAO";"C_201708_VALOR";"C_TOTAL_2017_BN";"C_TOTAL_2017_QUANTIDADE";"C_TOTAL_2017_REVISAO";"C_TOTAL_2017_VALOR"
"1";594480;"HOSPITAL SANTA IZABEL";"INTERNAÇÃO - CLÍNICA";367;1831310;51715,8;4700142,02;198;613986;30922,83;1801930,73;281;654255;26118,36;1245774,52;319;1641356;9154,87;3211803,35;323;1486036;6998,04;3386121,11;313;947313;93065,63;3145133,94;392;1385062;68643,31;4678434,21;351;1260962;40127,41;3966979,5;283;1035837;51418,25;3378567,81;319;1391848;33485,52;4325731,02;367;1899978;51960,37;4483146,49;371;1304495;0;3964606,45;475;1615132;1773241,9;4972499,25;331;996403;120725,83;2902045,75;399;1811084;120032,42;4499641,37;290;1252947;604446,31;3420569,47;381;2083076;0;4926093,73;297;1339008;85842,35;3887048,07;384;2211915;196052,12;4946104,06;331;1812179;12720,62;4752118,91;2888;13121744;2913061,55;34306120,61
"2";594480;"HOSPITAL SANTA IZABEL";"INTERNAÇÃO - CIRÚRGICA";313;201955;199322,02;2101720,29;149;42670;16177,27;961828,5;322;8538;76919,62;1339165,96;336;41881;39611,84;1830525,39;394;31812;12810,2;2498636,41;335;79195;77650,51;2585179,13;336;60862;10116,82;2693819,25;407;87751;0;2625421,95;385;44657;49710,34;2076577,53;319;57540;69721,33;2613982,73;302;72267;21125,52;2108046,28;324;75267;0;2387423,37;362;189222;809817;2708553,08;254;94186;110354,11;1938794,54;338;58773;-11896,64;2584173,89;222;66113;41229,24;2103647,62;343;235169;110355,79;3046157,33;256;154124;61075,65;2368184,23;237;122017;18441,72;2266145,28;194;218359;189895,33;2580881,77;2206;1137963;1329272,2;19596537,74
"3";594480;"HOSPITAL SANTA IZABEL";"PRONTO SOCORRO";5583;7539;4228,52;1505994,84;602;780;0;156534,55;1682;2073;965,5;388584,1;4251;5030;1523,12;802792,76;6312;8443;0;1547329,65;5072;6512;0;1266666,93;3891;6363;84,5;1063595,26;6147;9462;0;1707514,49;5171;7275;0;1225552,3;3621;4261;0;787976,18;4395;6279;0;1172402,19;4925;7323;0;1302417,85;4215;7004;52383,59;1251018,52;3093;4187;1669,8;767396,46;5123;6770;0;1279430,04;4272;6833;5079,09;1072222,11;5987;9146;0;1845114,27;4888;7237;0;1308725,54;4872;6998;0;1372303,92;5198;7056;0;1343485,65;37648;55231;59132,48;10239696,51
"4";594480;"HOSPITAL SANTA IZABEL";"SUPORTE MEDICAMENTOSO";127;1999;284,27;957830,44;24;156;362,96;109254,13;143;2583;459,36;1233445,53;119;2006;0;988973,46;133;2175;0;968902,29;56;785;14543,04;379219,27;93;883;0;617022,16;133;1724;0;1118456,61;130;1389;-7356,63;914430,6;90;857;0;610570,3;124;1331;0;881499,11;130;1577;0;774743,74;173;3395;173602,63;1582266,25;128;3546;1982,32;985673,98;145;5615;0;1355008,81;144;3530;0;1166921,1;159;3405;0;1253071,39;141;4858;0;1096111,76;161;4208;0;1248140,75;135;2652;0;894577,19;1186;31209;175584,95;9581771,23
"5";594480;"HOSPITAL SANTA IZABEL";"AMBULATORIAL - ONCOLOGIA";142;14829;-91,94;507434,94;48;4623;0;132456,57;134;14014;0;586126,61;171;18602;0;688343,24;7;1803;0;40775,26;94;5665;0;217437,75;169;23806;0;1033712,19;213;25181;0;1094415,54;156;12851;11120,32;599220,95;174;22601;0;922748,51;196;21285;0;991160,59;162;13923;2876,37;589734,33;186;20128;63681,68;732097,77;193;19605;-32319,64;768068,86;183;19145;0;841593,32;152;19659;14112,22;633542,14;195;25804;0;1125032,49;179;21087;0;759255,89;190;20066;0;832622,04;201;25034;0;953908,62;1479;170528;45474,26;6646121,13
"6";594480;"HOSPITAL SANTA IZABEL";"INTERNAÇÃO -  PEDIATRICA";145;136533;3115,44;836562,36;49;30876;996,44;352245,37;125;25467;85532,13;328593,21;136;83971;0;781166,19;147;117721;0;1083846,12;142;86340;4502,6;753959,89;142;136624;1937,21;1279822,2;129;75133;0;927247,57;106;59003;3520,86;570370,11;102;53232;0;448073,93;129;113890;5728,62;957555,12;113;86564;0;713295,31;131;125147;177319,99;738127,71;82;141618;24018,58;508337,32;97;99821;8922,79;662331,97;106;68983;95948,45;470865,46;161;127438;84886,86;690744;158;129859;0;814693,82;183;162549;0;1243490,85;151;152190;4291,74;970162,32;1069;1007605;395388,41;6098753,45
"7";594480;"HOSPITAL SANTA IZABEL";"AMBULATORIAL";1446;15110;851,81;688414,86;605;3832;53,61;192564,99;842;10131;2953,29;524152,39;2733;27531;0;1106954,97;2150;17629;0;644333,7;1132;14964;0;799206,82;1407;14632;0;811357,96;1862;15958;0;783023,04;1884;14737;63,3;675186,67;1931;13134;0;666042,09;1696;15941;0;925879,18;1599;17783;0;723538,15;1449;14712;18770,63;865485,67;1715;14513;2739,61;805598,28;1719;14553;0;775563,26;1406;12085;0;613352,28;1810;16993;0;962115,51;1713;13865;0;718390,36;693;10199;0;609884,72;591;9942;0;596135,05;11096;106862;21510,24;5946525,13
"8";594480;"HOSPITAL SANTA IZABEL";"SADT";1302;7321;143,65;311103,89;382;1053;2111,58;80497,57;1308;5590;208,65;311333,24;2848;13742;0;618716,96;2131;10413;0;445008,78;952;5648;2700;185113,84;1814;8608;591,74;352680,49;1895;9454;0;464216,79;1743;10216;1353,99;413535,9;1957;8069;0;432033,46;1916;8956;0;480519,77;1716;7633;0;433919,06;1597;8873;5677,91;421304,46;1682;8142;2168,02;362357,02;2202;14740;0;580608,62;1542;10652;0;388022,39;2062;15221;0;512687,89;1923;8975;946,31;499388,16;1059;6941;0;379853,58;632;4661;941,55;185251,06;12699;78205;9733,79;3329473,18
"9";594480;"HOSPITAL SANTA IZABEL";"CONSULTA";4278;4677;65;304005;1239;1271;260;82615;4918;5408;65;351520;8214;9566;0;621790;5764;6414;0;416780;3051;3230;0;209950;4799;5233;0;340145;5893;6624;0;430560;4412;4702;455;305630;5927;6588;0;428220;5854;6439;0;418535;5607;6081;0;395265;4753;5096;9165;331240;5439;6115;455;397475;5892;6630;0;430950;4474;4862;0;316030;5993;6711;0;436189;5390;5999;0;389909;2600;2750;0;178750;1776;1891;0;122915;36317;40054;9620;2603458
"10";594480;"HOSPITAL SANTA IZABEL";"HOSPITAL DIA";133;1950;419,65;113406,83;92;4628;1678,75;69060,43;86;1006;165,56;59961,09;121;3170;0;108420,96;222;3071;0;184362,96;194;2640;0;190751,38;215;2921;5469,78;203303,58;187;6683;0;177418,43;148;4834;846,66;148403,85;193;3214;0;180574,84;233;11904;0;251855,48;257;6948;0;262356,22;286;9769;60171,61;269547;211;12707;3391,45;233870,51;311;14536;0;363935,45;194;15261;0;240599,63;306;19824;0;363256,31;233;11383;0;254806,37;139;15196;0;159105,57;54;5573;2976,22;71684,43;1734;104249;66539,28;1956805,27
